id:ID,name,_uri,:LABEL
0,旅行,<http://rdf.beim.site/#%E6%97%85%E8%A1%8C>,goal
1,餐馆,<http://rdf.beim.site/#%E9%A4%90%E9%A6%86>,goal
2,景点,<http://rdf.beim.site/#%E6%99%AF%E7%82%B9>,goal
3,酒店,<http://rdf.beim.site/#%E9%85%92%E5%BA%97>,goal
4,推荐菜-美食街,,goal
5,推荐菜-香椿炒鸡蛋,,goal
6,酒店设施-健身房,,goal
7,推荐菜-生蚝,,goal
8,推荐菜-五花肉,,goal
9,推荐菜-早点包子,,goal
10,酒店设施-叫醒服务,,goal
11,酒店设施-无烟房,,goal
12,酒店设施-吹风机,,goal
13,推荐菜-武大郎烧饼,,goal
14,酒店设施-SPA,,goal
15,推荐菜-蜗牛,,goal
16,推荐菜-自制凉粉,,goal
17,酒店设施-国际长途电话,,goal
18,酒店设施-行李寄存,,goal
19,推荐菜-芒果慕斯,,goal
20,酒店设施-公共区域和部分房间提供wifi,,goal
21,推荐菜-糖醋排骨,,goal
22,出租,<http://rdf.beim.site/#%E5%87%BA%E7%A7%9F>,goal
23,酒店设施-室内游泳池,,goal
24,推荐菜-糖醋小排,,goal
25,酒店设施-免费市内电话,,goal
26,酒店设施-暖气,,goal
27,推荐菜-生鱼片,,goal
28,地铁,<http://rdf.beim.site/#%E5%9C%B0%E9%93%81>,goal
29,酒店设施-会议室,,goal
30,酒店设施-所有房间提供wifi,,goal
31,推荐菜-凤爪,,goal
32,酒店设施-宽带上网,,goal
33,推荐菜-金针菇牛肉卷,,goal
34,推荐菜-干锅有机花菜,,goal
35,推荐菜-水晶粉,,goal
36,推荐菜-野菜贴饼子,,goal
37,推荐菜-鸡肉串,,goal
38,推荐菜-面片,,goal
39,酒店设施-接待外宾,,goal
40,推荐菜-清炒虾仁,,goal
41,推荐菜-下午茶,,goal
42,酒店设施-24小时热水,,goal
43,推荐菜-金针菇,,goal
44,推荐菜-烤肠,,goal
45,推荐菜-招牌乌鱼蛋汤,,goal
46,推荐菜-小肉包,,goal
47,推荐菜-炸馒头,,goal
48,酒店设施-西式餐厅,,goal
49,酒店设施-酒店各处提供wifi,,goal
50,推荐菜-炒麻豆腐,,goal
51,推荐菜-酸梅汤,,goal
52,推荐菜-北冰洋汽水,,goal
53,推荐菜-手掰肠,,goal
54,推荐菜-干锅千叶豆腐,,goal
55,推荐菜-北极贝,,goal
56,推荐菜-新派毛血旺,,goal
57,推荐菜-主席套餐,,goal
58,推荐菜-五香鸡爪,,goal
59,酒店设施-看护小孩服务,,goal
60,酒店设施-接机服务,,goal
61,推荐菜-熬制酸梅汤,,goal
62,酒店设施-早餐服务,,goal
63,推荐菜-现场表演抻面,,goal
64,推荐菜-牛头,,goal
65,酒店设施-租车,,goal
66,酒店设施-部分房间提供wifi,,goal
67,酒店设施-洗衣服务,,goal
68,推荐菜-驴打滚儿,,goal
69,推荐菜-糖醋里脊,,goal
70,推荐菜-扁豆排骨,,goal
71,推荐菜-千层肚,,goal
72,推荐菜-锅台鱼,,goal
73,酒店设施-免费国内长途电话,,goal
74,推荐菜-鸭架汤,,goal
75,推荐菜-一品东坡肉,,goal
76,推荐菜-烧烤,,goal
77,酒店设施-早餐服务免费,,goal
78,推荐菜-炸窝头,,goal
79,推荐菜-酸汤肥牛,,goal
80,推荐菜-蜜汁鸡翅,,goal
81,推荐菜-什锦天妇罗,,goal
82,推荐菜-三杯鸡,,goal
83,推荐菜-葱油饼,,goal
84,推荐菜-豆豉清江鱼,,goal
85,推荐菜-腊八蒜炖肥肠,,goal
86,推荐菜-锡纸鲈鱼,,goal
87,推荐菜-牛角面包,,goal
88,推荐菜-海虾,,goal
89,推荐菜-咸水鸭肝,,goal
90,推荐菜-椰汁,,goal
91,推荐菜-羊肉烧麦,,goal
92,酒店设施-桑拿,,goal
93,酒店设施-中式餐厅,,goal
94,推荐菜-盐酥鸡,,goal
95,推荐菜-蒜蓉粉丝虾,,goal
96,推荐菜-火燎鸭心,,goal
97,酒店设施-残疾人设施,,goal
98,酒店设施-温泉,,goal
99,推荐菜-泡菜饼,,goal
100,推荐菜-炖柴鸡,,goal
101,推荐菜-麻辣香锅,,goal
102,推荐菜-蜜汁圣女果,,goal
103,推荐菜-炒饭,,goal
104,推荐菜-烤金针菇,,goal
105,酒店设施-商务中心,,goal
106,推荐菜-三杯鸡中翅,,goal
107,推荐菜-咖喱牛肉饭,,goal
108,推荐菜-面筋,,goal
109,推荐菜-烤虹鳟,,goal
110,推荐菜-草莓奶酪,,goal
111,推荐菜-干炸丸子,,goal
112,推荐菜-扬州炒饭,,goal
113,酒店设施-接站服务,,goal
114,推荐菜-牙签肉,,goal
115,推荐菜-‍提拉米苏,,goal
116,推荐菜-炝炒圆白菜,,goal
117,推荐菜-豆腐,,goal
118,推荐菜-蓝莓土豆泥,,goal
119,推荐菜-花香酥烤鸭,,goal
120,推荐菜-蜂蜜柚子茶,,goal
121,推荐菜-调味五花肉,,goal
122,推荐菜-奶茶,,goal
123,推荐菜-香草冰淇淋,,goal
124,推荐菜-西红柿鸡蛋面,,goal
125,推荐菜-羊肉汆面,,goal
126,推荐菜-夫妻肺片,,goal
127,推荐菜-黑椒牛仔骨,,goal
128,推荐菜-麻辣鸭头,,goal
129,推荐菜-石锅拌饭,,goal
130,推荐菜-梨球果仁虾,,goal
131,推荐菜-牛肉饭,,goal
132,推荐菜-绿茶暴风雪,,goal
133,推荐菜-蒜香面包,,goal
134,酒店设施-公共区域提供wifi,,goal
135,推荐菜-烂蒜肥肠,,goal
136,推荐菜-巧克力熔浆蛋糕,,goal
137,推荐菜-波斯顿龙虾,,goal
138,推荐菜-奶酪蛋糕,,goal
139,推荐菜-京八件,,goal
140,推荐菜-特选菲力里脊牛排,,goal
141,推荐菜-牛五花,,goal
142,推荐菜-烧羊肉,,goal
143,推荐菜-黑椒龙虾,,goal
144,推荐菜-宜宾燃面,,goal
145,推荐菜-焦熘丸子,,goal
