    No    Content_num  Round     cover   
    1         5         22       1.0    
    2         7         27       1.0    
    3         5         26       1.0    
    4         5         24       1.0    
    5         4         14       1.0    
    6         7         33       1.0    
    7         7         29       1.0    
    8         5         21       1.0    
    9         5         21       1.0    
    10        5         24       1.0    
    11        7         27       1.0    
    12        6         26       1.0    
    13        5         21       1.0    
    14        5         17       1.0    
    15        5         24       1.0    
    16        6         28       1.0    
    17        7         27       1.0    
    18        5         22       1.0    
    19        6         25       1.0    
    20        5         23       1.0    
    21        5         23       1.0    
    22        5         22       1.0    
    23        6         25       1.0    
    24        2         8        1.0    
    25        5         21       1.0    
    26        5         20       1.0    
    27        7         30       1.0    
    28        5         24       1.0    
    29        9         37       1.0    
    30        8         35       1.0    
    31        5         18       1.0    
    32        7         31       1.0    
    33        3         12       1.0    
    34        5         21       1.0    
    35        8         35       1.0    
    36        5         23       1.0    
    37        4         21       1.0    
    38        6         28       1.0    
    39        4         19       1.0    
    40        6         26       1.0    
    41        5         21       1.0    
    42        6         27       1.0    
    43        6         28       1.0    
    44        4         18       1.0    
    45        5         19       1.0    
    46        4         18       1.0    
    47        7         26       1.0    
    48        3         11       1.0    
    49        4         18       1.0    
    50        6         27       1.0    
    51        6         24       1.0    
    52        5         20       1.0    
    53        5         23       1.0    
    54        5         18       1.0    
    55        4         18       1.0    
    56        3         10       1.0    
    57        2         9        1.0    
    58        5         18       1.0    
    59        5         22       1.0    
    60        5         19       1.0    
    61        4         16       1.0    
    62        5         21       1.0    
    63        8         34       1.0    
    64        2         7        1.0    
    65        5         24       1.0    
    66        5         21       1.0    
    67        5         19       1.0    
    68        3         13       1.0    
    69        4         24       1.0    
    70        4         22       1.0    
    71        5         22       1.0    
    72        6         26       1.0    
    73        7         28       1.0    
    74        5         23       1.0    
    75        3         13       1.0    
    76        7         29       1.0    
    77        5         19       1.0    
    78        4         20       1.0    
    79        7         28       1.0    
    80        6         23       1.0    
    81        7         30       1.0    
    82        8         31       1.0    
    83        5         20       1.0    
    84        5         19       1.0    
    85        4         14       1.0    
    86        5         20       1.0    
    87        6         23       1.0    
    88        3         10       1.0    
    89        7         30       1.0    
    90        7         25       1.0    
    91        6         24       1.0    
    92        6         27       1.0    
    93        3         12       1.0    
    94        3         14       1.0    
    95        3         11       1.0    
    96        5         21       1.0    
    97        5         22       1.0    
    98        7         30       1.0    
    99        3         11       1.0    
   100        4         17       1.0    
   101        5         21       1.0    
   102        3         11       1.0    
   103        5         20       1.0    
   104        5         22       1.0    
   105        4         20       1.0    
   106        5         26       1.0    
   107        5         24       1.0    
   108        6         29       1.0    
   109        8         32       1.0    
   110        4         18       1.0    
   111        6         26       1.0    
   112        5         21       1.0    
   113        4         15       1.0    
   114        4         20       1.0    
   115        4         19       1.0    
   116        7         30       1.0    
   117        5         19       1.0    
   118        7         28       1.0    
   119        2         8        1.0    
   120        5         21       1.0    
   121        5         19       1.0    
   122        8         30       1.0    
   123        5         19       1.0    
   124        5         23       1.0    
   125        4         16       1.0    
   126        3         13       1.0    
   127        4         19       1.0    
   128        8         29       1.0    
   129        7         28       1.0    
   130        6         22       1.0    
   131        3         11       1.0    
   132        6         23       1.0    
   133        7         32       1.0    
   134        5         20       1.0    
   135        4         21       1.0    
   136        5         20       1.0    
   137        5         17       1.0    
   138        6         24       1.0    
   139        2         9        1.0    
   140        5         19       1.0    
   141        6         24       1.0    
   142        5         22       1.0    
   143        6         27       1.0    
   144        5         22       1.0    
   145        5         24       1.0    
   146        7         31       1.0    
   147        4         18       1.0    
   148        5         19       1.0    
   149        4         20       1.0    
   150        5         23       1.0    
   151        6         24       1.0    
   152        2         9        1.0    
   153        4         19       1.0    
   154        3         10       1.0    
   155        5         21       1.0    
   156        3         16       1.0    
   157        5         20       1.0    
   158        4         17       1.0    
   159        6         23       1.0    
   160        5         24       1.0    
   161        3         15       1.0    
   162        4         16       1.0    
   163        5         25       1.0    
   164        5         21       1.0    
   165        5         21       1.0    
   166        5         21       1.0    
   167        6         29       1.0    
   168        2         7        1.0    
   169        7         25       1.0    
   170        6         24       1.0    
   171        5         19       1.0    
   172        6         22       1.0    
   173        5         20       1.0    
   174        5         23       1.0    
   175        5         23       1.0    
   176        4         17       1.0    
   177        5         24       1.0    
   178        3         13       1.0    
   179        6         27       1.0    
   180        6         27       1.0    
   181        5         24       1.0    
   182        4         19       1.0    
   183        8         30       1.0    
   184        5         17       1.0    
   185        5         23       1.0    
   186        6         27       1.0    
   187        3         14       1.0    
   188        4         16       1.0    
   189        2         9        1.0    
   190        3         13       1.0    
   191        5         21       1.0    
   192        6         25       1.0    
   193        4         17       1.0    
   194        3         15       1.0    
   195        5         25       1.0    
   196        3         11       1.0    
   197        5         20       1.0    
   198        6         21       1.0    
   199        6         28       1.0    
   200        3         11       1.0    
   201        5         21       1.0    
   202        4         17       1.0    
   203        3         14       1.0    
   204        3         11       1.0    
   205        6         26       1.0    
   206        8         32       1.0    
   207        5         23       1.0    
   208        3         13       1.0    
   209        4         17       1.0    
   210        6         28       1.0    
   211        4         17       1.0    
   212        5         23       1.0    
   213        3         12       1.0    
   214        5         24       1.0    
   215        5         20       1.0    
   216        6         25       1.0    
   217        6         24       1.0    
   218        4         18       1.0    
   219        4         18       1.0    
   220        7         31       1.0    
   221        4         19       1.0    
   222        5         19       1.0    
   223        5         21       1.0    
   224        3         11       1.0    
   225        8         30       1.0    
   226        6         26       1.0    
   227        6         26       1.0    
   228        3         11       1.0    
   229        3         12       1.0    
   230        7         28       1.0    
   231        2         9        1.0    
   232        5         21       1.0    
   233        5         21       1.0    
   234        6         22       1.0    
   235        5         21       1.0    
   236        5         24       1.0    
   237        7         29       1.0    
   238        4         16       1.0    
   239        5         23       1.0    
   240        6         31       1.0    
   241        3         15       1.0    
   242        8         35       1.0    
   243        4         19       1.0    
   244        5         21       1.0    
   245        6         27       1.0    
   246        5         21       1.0    
   247        3         17       1.0    
   248        4         18       1.0    
   249        5         21       1.0    
   250        2         8        1.0    
   251        5         22       1.0    
   252        6         32       1.0    
   253        6         27       1.0    
   254        5         19       1.0    
   255        6         22       1.0    
   256        5         25       1.0    
   257        7         29       1.0    
   258        6         24       1.0    
   259        6         26       1.0    
   260        6         26       1.0    
   261        4         18       1.0    
   262        4         20       1.0    
   263        7         30       1.0    
   264        2         9        1.0    
   265        7         28       1.0    
   266        4         18       1.0    
   267        7         24       1.0    
   268        5         21       1.0    
   269        7         30       1.0    
   270        5         23       1.0    
   271        7         31       1.0    
   272        5         18       1.0    
   273        4         16       1.0    
   274        6         27       1.0    
   275        7         29       1.0    
   276        4         18       1.0    
   277        5         25       1.0    
   278        7         28       1.0    
   279        7         30       1.0    
   280        5         21       1.0    
   281        6         27       1.0    
   282        6         26       1.0    
   283        6         24       1.0    
   284        4         18       1.0    
   285        6         24       1.0    
   286        7         28       1.0    
   287        4         19       1.0    
   288        5         22       1.0    
   289        7         29       1.0    
   290        5         22       1.0    
   291        5         25       1.0    
   292        7         28       1.0    
   293        5         26       1.0    
   294        5         22       1.0    
   295        5         22       1.0    
   296        10        37       1.0    
   297        4         13       1.0    
   298        5         25       1.0    
   299        3         15       1.0    
   300        5         20       1.0    
   301        6         28       1.0    
   302        6         29       1.0    
   303        7         28       1.0    
   304        4         19       1.0    
   305        5         16       1.0    
   306        6         23       1.0    
   307        7         29       1.0    
   308        2         9        1.0    
   309        6         22       1.0    
   310        6         27       1.0    
   311        4         18       1.0    
   312        6         29       1.0    
   313        5         23       1.0    
   314        6         27       1.0    
   315        7         24       1.0    
   316        6         24       1.0    
   317        6         21       1.0    
   318        5         17       1.0    
   319        7         29       1.0    
   320        5         24       1.0    
   321        5         22       1.0    
   322        7         31       1.0    
   323        6         23       1.0    
   324        9         34       1.0    
   325        5         18       1.0    
   326        5         22       1.0    
   327        5         19       1.0    
   328        5         23       1.0    
   329        5         22       1.0    
   330        7         27       1.0    
   331        7         30       1.0    
   332        4         15       1.0    
   333        4         21       1.0    
   334        4         19       1.0    
   335        4         17       1.0    
   336        8         32       1.0    
   337        5         22       1.0    
   338        6         21       1.0    
   339        5         22       1.0    
   340        5         21       1.0    
   341        3         15       1.0    
   342        7         29       1.0    
   343        6         23       1.0    
   344        5         20       1.0    
   345        4         17       1.0    
   346        8         35       1.0    
   347        4         18       1.0    
   348        7         28       1.0    
   349        7         32       1.0    
   350        7         30       1.0    
   351        4         15       1.0    
   352        3         15       1.0    
   353        3         13       1.0    
   354        4         19       1.0    
   355        5         20       1.0    
   356        6         22       1.0    
   357        4         18       1.0    
   358        6         27       1.0    
   359        6         27       1.0    
   360        4         18       1.0    
   361        5         23       1.0    
   362        6         21       1.0    
   363        4         20       1.0    
   364        7         32       1.0    
   365        7         31       1.0    
   366        5         25       1.0    
   367        5         20       1.0    
   368        6         19       1.0    
   369        5         20       1.0    
   370        5         22       1.0    
   371        6         28       1.0    
   372        5         23       1.0    
   373        9         36       1.0    
   374        5         24       1.0    
   375        5         19       1.0    
   376        4         17       1.0    
   377        7         27       1.0    
   378        2         8        1.0    
   379        2         9        1.0    
   380        7         29       1.0    
   381        4         19       1.0    
   382        6         26       1.0    
   383        5         21       1.0    
   384        4         17       1.0    
   385        2         8        1.0    
   386        6         26       1.0    
   387        6         25       1.0    
   388        3         12       1.0    
   389        5         24       1.0    
   390        6         24       1.0    
   391        4         19       1.0    
   392        3         13       1.0    
   393        5         25       1.0    
   394        4         15       1.0    
   395        6         25       1.0    
   396        7         29       1.0    
   397        3         14       1.0    
   398        6         29       1.0    
   399        5         22       1.0    
   400        6         28       1.0    
   401        5         22       1.0    
   402        5         25       1.0    
   403        3         14       1.0    
   404        5         21       1.0    
   405        5         27       1.0    
   406        6         25       1.0    
   407        4         19       1.0    
   408        7         33       1.0    
   409        5         22       1.0    
   410        3         13       1.0    
   411        3         16       1.0    
   412        7         30       1.0    
   413        3         13       1.0    
   414        5         20       1.0    
   415        7         32       1.0    
   416        3         11       1.0    
   417        5         23       1.0    
   418        7         30       1.0    
   419        6         20       1.0    
   420        3         15       1.0    
   421        5         19       1.0    
   422        5         20       1.0    
   423        7         28       1.0    
   424        5         22       1.0    
   425        7         29       1.0    
   426        2         7        1.0    
   427        4         15       1.0    
   428        4         20       1.0    
   429        5         18       1.0    
   430        7         27       1.0    
   431        5         24       1.0    
   432        7         31       1.0    
   433        2         8        1.0    
   434        7         29       1.0    
   435        2         8        1.0    
   436        3         15       1.0    
   437        5         18       1.0    
   438        4         19       1.0    
   439        3         16       1.0    
   440        4         17       1.0    
   441        5         22       1.0    
   442        5         22       1.0    
   443        3         11       1.0    
   444        8         31       1.0    
   445        3         12       1.0    
   446        8         34       1.0    
   447        3         14       1.0    
   448        5         20       1.0    
   449        4         19       1.0    
   450        6         24       1.0    
   451        6         25       1.0    
   452        4         16       1.0    
   453        5         20       1.0    
   454        4         17       1.0    
   455        4         16       1.0    
   456        6         28       1.0    
   457        6         29       1.0    
   458        5         19       1.0    
   459        3         12       1.0    
   460        7         28       1.0    
   461        3         13       1.0    
   462        4         17       1.0    
   463        7         28       1.0    
   464        5         24       1.0    
   465        3         12       1.0    
   466        5         21       1.0    
   467        2         7        1.0    
   468        5         20       1.0    
   469        6         27       1.0    
   470        6         27       1.0    
   471        4         18       1.0    
   472        8         32       1.0    
   473        5         25       1.0    
   474        3         12       1.0    
   475        4         17       1.0    
   476        5         24       1.0    
   477        5         26       1.0    
   478        6         25       1.0    
   479        4         16       1.0    
   480        3         13       1.0    
   481        3         12       1.0    
   482        4         15       1.0    
   483        6         22       1.0    
   484        5         21       1.0    
   485        2         10       1.0    
   486        5         21       1.0    
   487        6         30       1.0    
   488        6         25       1.0    
   489        4         19       1.0    
   490        5         25       1.0    
   491        6         24       1.0    
   492        4         18       1.0    
   493        6         25       1.0    
   494        2         8        1.0    
   495        2         7        1.0    
   496        6         22       1.0    
   497        5         20       1.0    
   498        5         22       1.0    
   499        7         35       1.0    
   500        4         16       1.0    
   501        6         21       1.0    
   502        5         19       1.0    
   503        5         18       1.0    
   504        4         18       1.0    
   505        6         25       1.0    
   506        2         9        1.0    
   507        6         21       1.0    
   508        4         14       1.0    
   509        3         11       1.0    
   510        6         20       1.0    
   511        2         9        1.0    
   512        4         15       1.0    
   513        9         32       1.0    
   514        5         18       1.0    
   515        6         21       1.0    
   516        5         18       1.0    
   517        5         18       1.0    
   518        5         20       1.0    
   519        4         17       1.0    
   520        8         31       1.0    
   521        3         13       1.0    
   522        7         27       1.0    
   523        8         30       1.0    
   524        5         18       1.0    
   525        6         20       1.0    
   526        3         9        1.0    
   527        5         18       1.0    
   528        4         16       1.0    
   529        7         24       1.0    
   530        6         22       1.0    
   531        3         10       1.0    
   532        2         8        1.0    
   533        2         8        1.0    
   534        7         25       1.0    
   535        6         21       1.0    
   536        5         19       1.0    
   537        3         11       1.0    
   538        7         27       1.0    
   539        6         24       1.0    
   540        7         24       1.0    
   541        7         25       1.0    
   542        7         25       1.0    
   543        5         20       1.0    
   544        4         14       1.0    
   545        5         21       1.0    
   546        2         8        1.0    
   547        6         25       1.0    
   548        5         20       1.0    
   549        6         22       1.0    
   550        5         21       1.0    
   551        4         14       1.0    
   552        5         20       1.0    
   553        7         29       1.0    
   554        6         24       1.0    
   555        6         22       1.0    
   556        3         11       1.0    
   557        9         33       1.0    
   558        6         25       1.0    
   559        6         21       1.0    
   560        2         8        1.0    
   561        3         11       1.0    
   562        4         15       1.0    
   563        5         20       1.0    
   564        5         19       1.0    
   565        5         19       1.0    
   566        4         18       1.0    
   567        7         25       1.0    
   568        6         22       1.0    
   569        4         15       1.0    
   570        2         8        1.0    
   571        6         23       1.0    
   572        6         26       1.0    
   573        7         28       1.0    
   574        4         16       1.0    
   575        7         23       1.0    
   576        4         15       1.0    
   577        6         24       1.0    
   578        5         18       1.0    
   579        6         23       1.0    
   580        5         20       1.0    
   581        2         8        1.0    
   582        5         22       1.0    
   583        6         22       1.0    
   584        3         13       1.0    
   585        4         15       1.0    
   586        4         17       1.0    
   587        4         16       1.0    
   588        4         15       1.0    
   589        6         24       1.0    
   590        6         22       1.0    
   591        6         23       1.0    
   592        4         18       1.0    
   593        5         20       1.0    
   594        4         15       1.0    
   595        4         14       1.0    
   596        5         17       1.0    
   597        3         12       1.0    
   598        4         15       1.0    
   599        6         22       1.0    
   600        7         25       1.0    
   601        5         18       1.0    
   602        3         11       1.0    
   603        6         23       1.0    
   604        6         22       1.0    
   605        3         10       1.0    
   606        6         26       1.0    
   607        5         18       1.0    
   608        4         13       1.0    
   609        7         25       1.0    
   610        6         21       1.0    
   611        4         13       1.0    
   612        3         12       1.0    
   613        4         16       1.0    
   614        5         18       1.0    
   615        6         20       1.0    
   616        5         19       1.0    
   617        4         14       1.0    
   618        4         14       1.0    
   619        6         24       1.0    
   620        5         21       1.0    
   621        5         17       1.0    
   622        7         26       1.0    
   623        4         15       1.0    
   624        6         22       1.0    
   625        5         19       1.0    
   626        5         20       1.0    
   627        2         9        1.0    
   628        5         19       1.0    
   629        5         22       1.0    
   630        6         22       1.0    
   631        5         20       1.0    
   632        8         30       1.0    
   633        6         22       1.0    
   634        6         23       1.0    
   635        7         26       1.0    
   636        5         20       1.0    
   637        7         25       1.0    
   638        7         27       1.0    
   639        5         21       1.0    
   640        6         22       1.0    
   641        6         22       1.0    
   642        6         25       1.0    
   643        6         23       1.0    
   644        5         17       1.0    
   645        7         25       1.0    
   646        3         12       1.0    
   647        4         15       1.0    
   648        6         23       1.0    
   649        5         18       1.0    
   650        8         31       1.0    
   651        8         29       1.0    
   652        7         26       1.0    
   653        4         14       1.0    
   654        2         8        1.0    
   655        7         27       1.0    
   656        8         29       1.0    
   657        5         18       1.0    
   658        4         15       1.0    
   659        4         15       1.0    
   660        7         26       1.0    
   661        8         28       1.0    
   662        5         21       1.0    
   663        2         9        1.0    
   664        5         19       1.0    
   665        5         18       1.0    
   666        5         18       1.0    
   667        7         26       1.0    
   668        6         24       1.0    
   669        4         15       1.0    
   670        3         11       1.0    
   671        7         26       1.0    
   672        2         8        1.0    
   673        4         14       1.0    
   674        6         21       1.0    
   675        5         21       1.0    
   676        3         12       1.0    
   677        4         18       1.0    
   678        6         23       1.0    
   679        4         15       1.0    
   680        9         35       1.0    
   681        7         25       1.0    
   682        5         19       1.0    
   683        6         22       1.0    
   684        3         12       1.0    
   685        7         26       1.0    
   686        5         19       1.0    
   687        4         17       1.0    
   688        7         29       1.0    
   689        5         20       1.0    
   690        3         12       1.0    
   691        6         23       1.0    
   692        5         19       1.0    
   693        6         23       1.0    
   694        3         11       1.0    
   695        8         29       1.0    
   696        4         15       1.0    
   697        2         8        1.0    
   698        8         28       1.0    
   699        5         19       1.0    
   700        6         20       1.0    
   701        3         14       1.0    
   702        4         14       1.0    
   703        8         31       1.0    
   704        4         16       1.0    
   705        4         15       1.0    
   706        6         22       1.0    
   707        3         12       1.0    
   708        5         22       1.0    
   709        5         20       1.0    
   710        4         15       1.0    
   711        6         23       1.0    
   712        4         18       1.0    
   713        5         20       1.0    
   714        6         21       1.0    
   715        4         15       1.0    
   716        5         18       1.0    
   717        6         22       1.0    
   718        3         11       1.0    
   719        2         8        1.0    
   720        7         26       1.0    
   721        5         21       1.0    
   722        3         13       1.0    
   723        3         12       1.0    
   724        6         24       1.0    
   725        2         7        1.0    
   726        3         11       1.0    
   727        6         22       1.0    
   728        5         21       1.0    
   729        4         14       1.0    
   730        2         8        1.0    
   731        4         13       1.0    
   732        6         24       1.0    
   733        6         22       1.0    
   734        5         18       1.0    
   735        5         19       1.0    
   736        5         21       1.0    
   737        6         21       1.0    
   738        4         17       1.0    
   739        7         26       1.0    
   740        5         24       1.0    
   741        4         16       1.0    
   742        7         28       1.0    
   743        5         22       1.0    
   744        4         17       1.0    
   745        5         20       1.0    
   746        7         24       1.0    
   747        4         14       1.0    
   748        4         16       1.0    
   749        3         13       1.0    
   750        3         13       1.0    
   751        8         30       1.0    
   752        5         18       1.0    
   753        6         25       1.0    
   754        5         18       1.0    
   755        6         21       1.0    
   756        2         8        1.0    
   757        5         20       1.0    
   758        5         20       1.0    
   759        3         11       1.0    
   760        4         16       1.0    
   761        5         21       1.0    
   762        8         32       1.0    
   763        6         23       1.0    
   764        5         19       1.0    
   765        5         19       1.0    
   766        5         20       1.0    
   767        5         18       1.0    
   768        6         25       1.0    
   769        7         26       1.0    
   770        7         22       1.0    
   771        5         20       1.0    
   772        4         15       1.0    
   773        5         19       1.0    
   774        6         24       1.0    
   775        5         20       1.0    
   776        6         21       1.0    
   777        4         12       1.0    
   778        2         8        1.0    
   779        4         15       1.0    
   780        5         23       1.0    
   781        4         15       1.0    
   782        2         6        1.0    
   783        5         18       1.0    
   784        3         11       1.0    
   785        5         19       1.0    
   786        5         20       1.0    
   787        6         21       1.0    
   788        4         14       1.0    
   789        4         15       1.0    
   790        6         21       1.0    
   791        4         18       1.0    
   792        2         8        1.0    
   793        5         18       1.0    
   794        4         15       1.0    
   795        3         10       1.0    
   796        7         26       1.0    
   797        7         27       1.0    
   798        8         31       1.0    
   799        6         21       1.0    
   800        5         19       1.0    
   801        3         12       1.0    
   802        6         21       1.0    
   803        4         15       1.0    
   804        6         25       1.0    
   805        5         19       1.0    
   806        7         23       1.0    
   807        2         7        1.0    
   808        7         25       1.0    
   809        4         18       1.0    
   810        6         24       1.0    
   811        7         27       1.0    
   812        6         21       1.0    
   813        4         17       1.0    
   814        4         14       1.0    
   815        5         19       1.0    
   816        7         28       1.0    
