   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
    1         22           5              0              0             1.0      
    2         28           7              0              0             1.0      
    3         27           5              1              0             0.8      
    4         24           5              0              0             1.0      
    5         15           4              1              0            0.75      
    6         35           7              1              0       0.8571428571428571
    7         31           7              1              0       0.8571428571428571
    8         22           5              1              0             0.8      
    9         22           5              1              0             0.8      
    10        25           5              1              0             0.8      
    11        30           7              2              0       0.7142857142857143
    12        26           6              0              0             1.0      
    13        21           5              0              0             1.0      
    14        19           5              1              0             0.8      
    15        24           5              0              0             1.0      
    16        30           6              1              0       0.8333333333333334
    17        29           7              1              0       0.8571428571428571
    18        22           5              0              0             1.0      
    19        26           6              1              0       0.8333333333333334
    20        23           5              0              0             1.0      
    21        23           5              0              0             1.0      
    22        22           5              0              0             1.0      
    23        26           6              1              0       0.8333333333333334
    24        8            2              0              0             1.0      
    25        21           5              0              0             1.0      
    26        20           5              0              0             1.0      
    27        32           7              1              0       0.8571428571428571
    28        25           5              1              0             0.8      
    29        38           9              0              0             1.0      
    30        37           8              1              0            0.875     
    31        19           5              1              0             0.8      
    32        31           7              0              0             1.0      
    33        12           3              0              0             1.0      
    34        22           5              1              0             0.8      
    35        36           8              0              0             1.0      
    36        24           5              1              0             0.8      
    37        21           4              0              0             1.0      
    38        28           6              0              0             1.0      
    39        19           4              0              0             1.0      
    40        28           6              1              0       0.8333333333333334
    41        21           5              0              0             1.0      
    42        27           6              0              0             1.0      
    43        28           6              0              0             1.0      
    44        19           4              1              0            0.75      
    45        19           5              0              0             1.0      
    46        18           4              0              0             1.0      
    47        28           7              1              0       0.8571428571428571
    48        11           3              0              0             1.0      
    49        18           4              0              0             1.0      
    50        27           6              0              0             1.0      
    51        26           6              1              0       0.8333333333333334
    52        20           5              0              0             1.0      
    53        23           5              0              0             1.0      
    54        18           5              0              0             1.0      
    55        19           4              1              0            0.75      
    56        10           3              0              0             1.0      
    57        9            2              0              0             1.0      
    58        18           5              0              0             1.0      
    59        22           5              0              0             1.0      
    60        20           5              0              0             1.0      
    61        16           4              0              0             1.0      
    62        21           5              0              0             1.0      
    63        35           8              0              0             1.0      
    64        7            2              0              0             1.0      
    65        25           5              1              0             0.8      
    66        23           5              1              0             0.8      
    67        20           5              1              0             0.8      
    68        13           3              0              0             1.0      
    69        24           4              0              0             1.0      
    70        22           4              0              0             1.0      
    71        23           5              1              0             0.8      
    72        28           6              1              0       0.8333333333333334
    73        29           7              0              0             1.0      
    74        24           5              1              0             0.8      
    75        13           3              0              0             1.0      
    76        31           7              1              0       0.8571428571428571
    77        20           5              1              0             0.8      
    78        20           4              0              0             1.0      
    79        30           7              1              0       0.8571428571428571
    80        25           6              1              0       0.8333333333333334
    81        30           7              0              0             1.0      
    82        32           8              0              0             1.0      
    83        20           5              0              0             1.0      
    84        20           5              1              0             0.8      
    85        15           4              1              0            0.75      
    86        20           5              0              0             1.0      
    87        25           6              1              0       0.8333333333333334
    88        11           3              1              0       0.6666666666666666
    89        30           7              0              0             1.0      
    90        27           7              1              0       0.8571428571428571
    91        26           6              1              0       0.8333333333333334
    92        27           6              0              0             1.0      
    93        12           3              0              0             1.0      
    94        14           3              0              0             1.0      
    95        11           3              0              0             1.0      
    96        21           5              0              0             1.0      
    97        23           5              1              0             0.8      
    98        30           7              0              0             1.0      
    99        12           3              1              0       0.6666666666666666
   100        18           4              1              0            0.75      
   101        22           5              1              0             0.8      
   102        12           3              1              0       0.6666666666666666
   103        20           5              0              0             1.0      
   104        23           5              1              0             0.8      
   105        20           4              0              0             1.0      
   106        26           5              0              0             1.0      
   107        24           5              0              0             1.0      
   108        31           6              1              0       0.8333333333333334
   109        34           8              1              0            0.875     
   110        18           4              0              0             1.0      
   111        27           6              0              0             1.0      
   112        22           5              1              0             0.8      
   113        16           4              1              0            0.75      
   114        20           4              0              0             1.0      
   115        19           4              0              0             1.0      
   116        31           7              0              0             1.0      
   117        19           5              0              0             1.0      
   118        29           7              0              0             1.0      
   119        8            2              0              0             1.0      
   120        21           5              0              0             1.0      
   121        19           5              0              0             1.0      
   122        31           8              0              0             1.0      
   123        19           5              0              0             1.0      
   124        24           5              1              0             0.8      
   125        16           4              0              0             1.0      
   126        13           3              0              0             1.0      
   127        20           4              1              0            0.75      
   128        30           8              0              0             1.0      
   129        30           7              1              0       0.8571428571428571
   130        24           6              1              0       0.8333333333333334
   131        11           3              0              0             1.0      
   132        23           6              0              0             1.0      
   133        34           7              1              0       0.8571428571428571
   134        20           5              0              0             1.0      
   135        22           4              1              0            0.75      
