   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
    1         17           5              1              0             0.8             3       
    2         20           7              1              0       0.8571428571428571       4       
    3         18           5              1              0             0.8             4       
    4         18           5              0              0             1.0             4       
    5         17           4              1              0            0.75             3       
    6         19           7              1              0       0.8571428571428571       4       
    7         20           7              1              0       0.8571428571428571       4       
    8         18           5              1              0             0.8             6       
    9         18           5              1              0             0.8             4       
    10        18           5              1              0             0.8             5       
    11        20           7              2              0       0.7142857142857143       4       
    12        19           6              0              0             1.0             4       
    13        15           5              0              0             1.0             4       
    14        16           5              1              0             0.8             3       
    15        18           5              1              0             0.8             5       
    16        19           6              1              0       0.8333333333333334       4       
    17        20           7              1              0       0.8571428571428571       4       
    18        11           5              0              0             1.0             2       
    19        18           6              1              0       0.8333333333333334       5       
    20        15           5              0              0             1.0             3       
    21        18           5              1              0             0.8             6       
    22        18           5              0              0             1.0             5       
    23        16           6              1              0       0.8333333333333334       4       
    24        10           2              0              0             1.0             2       
    25        18           5              1              0             0.8             4       
    26        18           5              1              0             0.8             5       
    27        20           7              1              0       0.8571428571428571       4       
    28        18           5              1              0             0.8             5       
    29        21           9              1              0       0.8888888888888888       4       
    30        21           8              1              0            0.875            4       
    31        18           5              1              0             0.8             4       
    32        20           7              0              0             1.0             4       
    33        14           3              0              0             1.0             4       
    34        18           5              1              0             0.8             5       
    35        17           8              1              0            0.875            3       
    36        18           5              1              0             0.8             4       
    37        17           4              0              0             1.0             5       
    38        18           6              0              0             1.0             4       
    39        15           4              0              0             1.0             3       
    40        19           6              1              0       0.8333333333333334       4       
    41        18           5              0              0             1.0             4       
    42        19           6              0              0             1.0             4       
    43        18           6              1              0       0.8333333333333334       5       
    44        17           4              1              0            0.75             3       
    45        18           5              0              0             1.0             5       
    46        15           4              0              0             1.0             3       
    47        17           7              1              0       0.8571428571428571       4       
    48        11           3              1              0       0.6666666666666666       3       
    49        14           4              0              0             1.0             4       
    50        15           6              0              0             1.0             3       
    51        19           6              1              0       0.8333333333333334       4       
    52        18           5              1              0             0.8             5       
    53        15           5              0              0             1.0             3       
    54        16           5              0              0             1.0             3       
    55        17           4              1              0            0.75             3       
    56        11           3              1              0       0.6666666666666666       3       
    57        10           2              0              0             1.0             2       
    58        16           5              0              0             1.0             3       
    59        9            5              0              0             1.0             4       
    60        16           5              1              0             0.8             5       
    61        15           4              0              0             1.0             4       
    62        15           5              0              0             1.0             3       
    63        20           8              1              0            0.875            4       
    64        11           2              0              0             1.0             2       
    65        18           5              1              0             0.8             4       
    66        16           5              1              0             0.8             4       
    67        18           5              1              0             0.8             5       
    68        16           3              0              0             1.0             4       
    69        17           4              0              0             1.0             5       
    70        17           4              0              0             1.0             5       
    71        18           5              1              0             0.8             5       
    72        19           6              1              0       0.8333333333333334       4       
    73        20           7              1              0       0.8571428571428571       4       
    74        18           5              1              0             0.8             5       
    75        16           3              0              0             1.0             3       
    76        20           7              1              0       0.8571428571428571       4       
    77        18           5              1              0             0.8             4       
    78        14           4              0              0             1.0             4       
    79        20           7              1              0       0.8571428571428571       4       
    80        16           6              1              0       0.8333333333333334       4       
    81        17           7              0              0             1.0             3       
    82        18           8              1              0            0.875            3       
    83        12           5              1              0             0.8             2       
    84        18           5              1              0             0.8             4       
    85        15           4              1              0            0.75             4       
    86        18           5              0              0             1.0             4       
    87        19           6              1              0       0.8333333333333334       4       
    88        11           3              1              0       0.6666666666666666       3       
    89        16           7              0              0             1.0             3       
    90        20           7              1              0       0.8571428571428571       4       
    91        19           6              1              0       0.8333333333333334       4       
    92        19           6              0              0             1.0             4       
    93        14           3              0              0             1.0             4       
    94        16           3              0              0             1.0             4       
    95        12           3              0              0             1.0             4       
    96        18           5              0              0             1.0             5       
    97        18           5              1              0             0.8             4       
    98        20           7              0              0             1.0             4       
    99        11           3              1              0       0.6666666666666666       3       
   100        17           4              1              0            0.75             3       
   101        18           5              1              0             0.8             5       
   102        11           3              1              0       0.6666666666666666       3       
   103        16           5              0              0             1.0             3       
   104        18           5              1              0             0.8             4       
   105        17           4              0              0             1.0             5       
   106        17           5              0              0             1.0             5       
   107        18           5              0              0             1.0             4       
   108        19           6              1              0       0.8333333333333334       4       
   109        20           8              1              0            0.875            4       
   110        17           4              0              0             1.0             5       
   111        19           6              1              0       0.8333333333333334       4       
   112        18           5              1              0             0.8             4       
   113        17           4              1              0            0.75             3       
   114        11           4              0              0             1.0             2       
   115        8            4              0              0             1.0             4       
   116        19           7              1              0       0.8571428571428571       4       
   117        18           5              1              0             0.8             5       
   118        19           7              1              0       0.8571428571428571       4       
   119        10           2              0              0             1.0             2       
   120        18           5              0              0             1.0             4       
   121        16           5              0              0             1.0             3       
   122        20           8              1              0            0.875            4       
   123        18           5              0              0             1.0             4       
   124        18           5              1              0             0.8             5       
   125        17           4              0              0             1.0             6       
   126        14           3              0              0             1.0             4       
   127        17           4              1              0            0.75             4       
   128        20           8              1              0            0.875            4       
   129        19           7              1              0       0.8571428571428571       4       
   130        19           6              2              0       0.6666666666666666       5       
   131        16           3              0              0             1.0             3       
   132        19           6              0              0             1.0             4       
   133        20           7              1              0       0.8571428571428571       4       
   134        18           5              1              0             0.8             5       
   135        15           4              1              0            0.75             4       
   136        18           5              0              0             1.0             4       
   137        16           5              0              0             1.0             4       
   138        19           6              1              0       0.8333333333333334       4       
   139        10           2              0              0             1.0             3       
   140        16           5              0              0             1.0             3       
   141        10           6              0              0             1.0             4       
   142        18           5              1              0             0.8             4       
   143        18           6              1              0       0.8333333333333334       4       
   144        18           5              0              0             1.0             4       
   145        15           5              0              0             1.0             4       
   146        17           7              0              0             1.0             3       
   147        17           4              0              0             1.0             5       
   148        18           5              1              0             0.8             5       
   149        14           4              0              0             1.0             4       
   150        18           5              1              0             0.8             5       
   151        17           6              1              0       0.8333333333333334       4       
   152        10           2              0              0             1.0             2       
   153        17           4              0              0             1.0             5       
   154        11           3              1              0       0.6666666666666666       3       
   155        18           5              1              0             0.8             4       
   156        14           3              0              0             1.0             4       
   157        18           5              1              0             0.8             6       
   158        17           4              0              0             1.0             5       
   159        10           6              0              0             1.0             4       
   160        18           5              0              0             1.0             4       
   161        14           3              0              0             1.0             3       
   162        17           4              1              0            0.75             3       
   163        18           5              0              0             1.0             5       
   164        9            5              0              0             1.0             4       
   165        17           5              1              0             0.8             3       
   166        18           5              0              0             1.0             4       
   167        16           6              1              0       0.8333333333333334       4       
   168        10           2              0              0             1.0             3       
   169        17           7              1              0       0.8571428571428571       4       
   170        16           6              1              0       0.8333333333333334       5       
   171        15           5              1              0             0.8             4       
   172        17           6              1              0       0.8333333333333334       4       
   173        16           5              0              0             1.0             3       
   174        18           5              0              0             1.0             4       
   175        18           5              1              0             0.8             5       
   176        11           4              0              0             1.0             2       
   177        18           5              1              0             0.8             5       
   178        16           3              0              0             1.0             3       
   179        16           6              1              0       0.8333333333333334       3       
   180        19           6              1              0       0.8333333333333334       4       
   181        18           5              1              0             0.8             5       
   182        17           4              1              0            0.75             3       
   183        18           8              1              0            0.875            3       
   184        16           5              0              0             1.0             5       
   185        15           5              0              0             1.0             4       
   186        16           6              0              0             1.0             4       
   187        14           3              0              0             1.0             4       
   188        17           4              1              0            0.75             3       
   189        10           2              0              0             1.0             3       
   190        14           3              0              0             1.0             3       
   191        15           5              1              0             0.8             5       
   192        19           6              0              0             1.0             4       
   193        14           4              0              0             1.0             5       
   194        16           3              0              0             1.0             3       
   195        18           5              1              0             0.8             5       
   196        11           3              1              0       0.6666666666666666       3       
   197        16           5              0              0             1.0             5       
   198        17           6              1              0       0.8333333333333334       4       
   199        19           6              1              0       0.8333333333333334       4       
   200        16           3              0              0             1.0             3       
   201        15           5              0              0             1.0             5       
   202        17           4              1              0            0.75             3       
   203        16           3              0              0             1.0             3       
   204        14           3              0              0             1.0             3       
   205        19           6              0              0             1.0             4       
   206        20           8              1              0            0.875            4       
   207        18           5              1              0             0.8             5       
   208        16           3              0              0             1.0             3       
   209        17           4              1              0            0.75             4       
   210        16           6              1              0       0.8333333333333334       3       
   211        16           4              0              0             1.0             3       
   212        15           5              0              0             1.0             3       
   213        16           3              0              0             1.0             3       
   214        18           5              1              0             0.8             5       
   215        18           5              1              0             0.8             5       
   216        19           6              0              0             1.0             4       
   217        10           6              0              0             1.0             4       
   218        17           4              0              0             1.0             5       
   219        15           4              1              0            0.75             4       
   220        20           7              1              0       0.8571428571428571       5       
   221        17           4              0              0             1.0             5       
   222        18           5              1              0             0.8             4       
   223        18           5              1              0             0.8             5       
   224        11           3              1              0       0.6666666666666666       2       
   225        18           8              1              0            0.875            3       
   226        16           6              1              0       0.8333333333333334       3       
   227        19           6              0              0             1.0             4       
   228        14           3              0              0             1.0             4       
   229        12           3              0              0             1.0             3       
   230        20           7              1              0       0.8571428571428571       4       
   231        10           2              0              0             1.0             2       
   232        18           5              1              0             0.8             5       
   233        15           5              0              0             1.0             3       
   234        19           6              1              0       0.8333333333333334       4       
   235        18           5              1              0             0.8             6       
   236        18           5              1              0             0.8             5       
   237        17           7              1              0       0.8571428571428571       3       
   238        17           4              0              0             1.0             4       
   239        18           5              1              0             0.8             5       
   240        18           6              0              0             1.0             4       
   241        14           3              0              0             1.0             5       
   242        21           8              0              0             1.0             4       
   243        17           4              0              0             1.0             5       
   244        18           5              1              0             0.8             5       
   245        12           6              1              0       0.8333333333333334       2       
   246        18           5              1              0             0.8             5       
   247        14           3              0              0             1.0             3       
   248        17           4              1              0            0.75             3       
   249        18           5              1              0             0.8             5       
   250        10           2              0              0             1.0             2       
   251        9            5              0              0             1.0             4       
   252        16           6              1              0       0.8333333333333334       4       
   253        18           6              1              0       0.8333333333333334       5       
   254        18           5              1              0             0.8             5       
   255        17           6              1              0       0.8333333333333334       4       
   256        18           5              1              0             0.8             5       
   257        17           7              1              0       0.8571428571428571       4       
   258        19           6              1              0       0.8333333333333334       4       
   259        18           6              1              0       0.8333333333333334       5       
   260        19           6              1              0       0.8333333333333334       4       
   261        8            4              0              0             1.0             4       
   262        14           4              0              0             1.0             4       
   263        17           7              1              0       0.8571428571428571       3       
   264        11           2              0              0             1.0             3       
   265        20           7              1              0       0.8571428571428571       4       
   266        17           4              1              0            0.75             4       
   267        20           7              1              0       0.8571428571428571       4       
   268        18           5              1              0             0.8             5       
   269        19           7              1              0       0.8571428571428571       4       
   270        16           5              0              0             1.0             3       
   271        17           7              1              0       0.8571428571428571       3       
   272        16           5              1              0             0.8             4       
   273        14           4              0              0             1.0             4       
   274        16           6              1              0       0.8333333333333334       3       
   275        19           7              1              0       0.8571428571428571       4       
   276        14           4              0              0             1.0             5       
   277        18           5              1              0             0.8             5       
   278        20           7              1              0       0.8571428571428571       4       
   279        19           7              1              0       0.8571428571428571       4       
   280        18           5              1              0             0.8             5       
   281        18           6              1              0       0.8333333333333334       5       
   282        19           6              0              0             1.0             4       
   283        19           6              1              0       0.8333333333333334       4       
   284        17           4              0              0             1.0             3       
   285        19           6              1              0       0.8333333333333334       4       
   286        20           7              1              0       0.8571428571428571       4       
   287        15           4              0              0             1.0             4       
   288        18           5              1              0             0.8             5       
   289        20           7              1              0       0.8571428571428571       4       
   290        18           5              1              0             0.8             4       
   291        15           5              0              0             1.0             4       
   292        20           7              1              0       0.8571428571428571       4       
   293        18           5              0              0             1.0             4       
   294        11           5              0              0             1.0             2       
   295        15           5              0              0             1.0             3       
   296        20          10              1              0             0.9             3       
   297        13           4              0              0             1.0             3       
   298        11           5              0              0             1.0             3       
   299        14           3              0              0             1.0             3       
   300        18           5              0              0             1.0             4       
   301        16           6              0              0             1.0             3       
