   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
    1         15           5              1              0             0.8      
    2         21           7              1              0       0.8571428571428571
    3         15           5              1              0             0.8      
    4         15           5              0              0             1.0      
    5         13           4              1              0            0.75      
    6         21           7              1              0       0.8571428571428571
    7         21           7              1              0       0.8571428571428571
    8         15           5              1              0             0.8      
    9         15           5              1              0             0.8      
    10        16           5              1              0             0.8      
    11        22           7              2              0       0.7142857142857143
    12        19           6              0              0             1.0      
    13        16           5              0              0             1.0      
    14        17           5              1              0             0.8      
    15        16           5              1              0             0.8      
    16        19           6              1              0       0.8333333333333334
    17        22           7              1              0       0.8571428571428571
    18        16           5              0              0             1.0      
    19        18           6              1              0       0.8333333333333334
    20        15           5              0              0             1.0      
    21        16           5              1              0             0.8      
    22        16           5              0              0             1.0      
    23        19           6              1              0       0.8333333333333334
    24        9            2              0              0             1.0      
    25        16           5              1              0             0.8      
    26        16           5              1              0             0.8      
    27        22           7              1              0       0.8571428571428571
    28        16           5              1              0             0.8      
    29        28           9              1              0       0.8888888888888888
    30        25           8              1              0            0.875     
    31        16           5              1              0             0.8      
    32        22           7              0              0             1.0      
    33        8            3              0              0             1.0      
    34        16           5              1              0             0.8      
    35        24           8              1              0            0.875     
    36        16           5              1              0             0.8      
    37        11           4              0              0             1.0      
    38        19           6              0              0             1.0      
    39        13           4              0              0             1.0      
    40        19           6              1              0       0.8333333333333334
    41        16           5              0              0             1.0      
    42        19           6              0              0             1.0      
    43        18           6              1              0       0.8333333333333334
    44        14           4              1              0            0.75      
    45        16           5              0              0             1.0      
    46        14           4              0              0             1.0      
    47        23           7              1              0       0.8571428571428571
    48        12           3              1              0       0.6666666666666666
    49        11           4              0              0             1.0      
    50        19           6              0              0             1.0      
    51        19           6              1              0       0.8333333333333334
    52        16           5              1              0             0.8      
    53        15           5              0              0             1.0      
    54        16           5              0              0             1.0      
    55        14           4              1              0            0.75      
    56        10           3              1              0       0.6666666666666666
    57        7            2              0              0             1.0      
    58        17           5              0              0             1.0      
    59        16           5              0              0             1.0      
    60        15           5              1              0             0.8      
    61        13           4              0              0             1.0      
    62        16           5              0              0             1.0      
    63        24           8              1              0            0.875     
    64        8            2              0              0             1.0      
    65        16           5              1              0             0.8      
    66        17           5              1              0             0.8      
    67        16           5              1              0             0.8      
    68        11           3              0              0             1.0      
    69        13           4              0              0             1.0      
    70        13           4              0              0             1.0      
    71        16           5              1              0             0.8      
    72        19           6              1              0       0.8333333333333334
    73        22           7              1              0       0.8571428571428571
    74        16           5              1              0             0.8      
    75        10           3              0              0             1.0      
    76        22           7              1              0       0.8571428571428571
    77        16           5              1              0             0.8      
    78        11           4              0              0             1.0      
    79        22           7              1              0       0.8571428571428571
    80        19           6              1              0       0.8333333333333334
    81        22           7              0              0             1.0      
    82        25           8              1              0            0.875     
    83        15           5              1              0             0.8      
    84        16           5              1              0             0.8      
    85        14           4              1              0            0.75      
    86        15           5              0              0             1.0      
