   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
    1         12           5              0              0             1.0      
    2         17           7              0              0             1.0      
    3         12           5              1              0             0.8      
    4         12           5              0              0             1.0      
    5         12           4              1              0            0.75      
    6         16           7              1              0       0.8571428571428571
    7         18           7              1              0       0.8571428571428571
    8         13           5              1              0             0.8      
    9         11           5              1              0             0.8      
    10        13           5              1              0             0.8      
    11        17           7              2              0       0.7142857142857143
    12        16           6              0              0             1.0      
    13        12           5              0              0             1.0      
    14        16           5              1              0             0.8      
    15        13           5              0              0             1.0      
    16        16           6              1              0       0.8333333333333334
    17        17           7              1              0       0.8571428571428571
    18        12           5              0              0             1.0      
    19        14           6              1              0       0.8333333333333334
    20        12           5              0              0             1.0      
    21        13           5              0              0             1.0      
    22        12           5              0              0             1.0      
    23        17           6              1              0       0.8333333333333334
    24        9            2              0              0             1.0      
    25        14           5              0              0             1.0      
    26        12           5              0              0             1.0      
    27        17           7              1              0       0.8571428571428571
    28        13           5              1              0             0.8      
    29        22           9              0              0             1.0      
    30        20           8              1              0            0.875     
    31        14           5              1              0             0.8      
    32        17           7              0              0             1.0      
    33        9            3              0              0             1.0      
    34        14           5              1              0             0.8      
    35        19           8              0              0             1.0      
    36        12           5              1              0             0.8      
    37        12           4              0              0             1.0      
    38        17           6              0              0             1.0      
    39        11           4              0              0             1.0      
    40        14           6              1              0       0.8333333333333334
    41        15           5              0              0             1.0      
    42        16           6              0              0             1.0      
    43        15           6              0              0             1.0      
    44        13           4              1              0            0.75      
    45        13           5              0              0             1.0      
    46        13           4              0              0             1.0      
    47        17           7              1              0       0.8571428571428571
    48        12           3              0              0             1.0      
    49        11           4              0              0             1.0      
    50        16           6              0              0             1.0      
    51        15           6              1              0       0.8333333333333334
    52        15           5              0              0             1.0      
    53        12           5              0              0             1.0      
    54        15           5              0              0             1.0      
    55        13           4              1              0            0.75      
    56        9            3              0              0             1.0      
    57        7            2              0              0             1.0      
    58        14           5              0              0             1.0      
    59        14           5              0              0             1.0      
    60        11           5              0              0             1.0      
    61        12           4              0              0             1.0      
    62        15           5              0              0             1.0      
    63        19           8              0              0             1.0      
    64        10           2              0              0             1.0      
    65        14           5              1              0             0.8      
    66        15           5              1              0             0.8      
    67        13           5              1              0             0.8      
    68        9            3              0              0             1.0      
    69        12           4              0              0             1.0      
    70        12           4              0              0             1.0      
    71        15           5              1              0             0.8      
    72        17           6              1              0       0.8333333333333334
    73        19           7              0              0             1.0      
    74        14           5              1              0             0.8      
    75        9            3              0              0             1.0      
    76        17           7              1              0       0.8571428571428571
    77        13           5              1              0             0.8      
    78        9            4              0              0             1.0      
    79        18           7              1              0       0.8571428571428571
    80        15           6              1              0       0.8333333333333334
    81        18           7              0              0             1.0      
    82        19           8              0              0             1.0      
    83        12           5              0              0             1.0      
    84        14           5              1              0             0.8      
    85        14           4              1              0            0.75      
    86        12           5              0              0             1.0      
    87        17           6              1              0       0.8333333333333334
    88        11           3              1              0       0.6666666666666666
    89        19           7              0              0             1.0      
    90        16           7              1              0       0.8571428571428571
    91        15           6              1              0       0.8333333333333334
    92        14           6              0              0             1.0      
    93        8            3              0              0             1.0      
    94        9            3              0              0             1.0      
    95        10           3              0              0             1.0      
    96        14           5              0              0             1.0      
    97        13           5              1              0             0.8      
    98        19           7              0              0             1.0      
    99        10           3              1              0       0.6666666666666666
   100        12           4              1              0            0.75      
   101        15           5              1              0             0.8      
   102        10           3              1              0       0.6666666666666666
   103        14           5              0              0             1.0      
   104        14           5              1              0             0.8      
   105        11           4              0              0             1.0      
   106        11           5              0              0             1.0      
   107        13           5              0              0             1.0      
   108        16           6              1              0       0.8333333333333334
   109        21           8              1              0            0.875     
   110        11           4              0              0             1.0      
   111        15           6              0              0             1.0      
   112        12           5              1              0             0.8      
   113        10           4              1              0            0.75      
   114        11           4              0              0             1.0      
   115        13           4              0              0             1.0      
   116        19           7              0              0             1.0      
   117        12           5              0              0             1.0      
   118        18           7              0              0             1.0      
   119        8            2              0              0             1.0      
   120        14           5              0              0             1.0      
   121        13           5              0              0             1.0      
   122        19           8              0              0             1.0      
   123        14           5              0              0             1.0      
   124        14           5              1              0             0.8      
   125        10           4              0              0             1.0      
   126        10           3              0              0             1.0      
   127        12           4              1              0            0.75      
   128        19           8              0              0             1.0      
   129        17           7              1              0       0.8571428571428571
   130        16           6              1              0       0.8333333333333334
   131        9            3              0              0             1.0      
   132        14           6              0              0             1.0      
   133        17           7              1              0       0.8571428571428571
   134        12           5              0              0             1.0      
   135        12           4              1              0            0.75      
   136        13           5              0              0             1.0      
   137        14           5              0              0             1.0      
   138        14           6              0              0             1.0      
   139        5            2              0              0             1.0      
   140        14           5              0              0             1.0      
   141        14           6              0              0             1.0      
   142        11           5              1              0             0.8      
   143        16           6              0              0             1.0      
   144        12           5              0              0             1.0      
   145        12           5              0              0             1.0      
   146        17           7              0              0             1.0      
   147        12           4              0              0             1.0      
   148        12           5              0              0             1.0      
   149        12           4              0              0             1.0      
   150        12           5              1              0             0.8      
   151        17           6              1              0       0.8333333333333334
   152        6            2              0              0             1.0      
   153        11           4              0              0             1.0      
   154        11           3              1              0       0.6666666666666666
   155        12           5              0              0             1.0      
   156        8            3              0              0             1.0      
   157        13           5              1              0             0.8      
   158        10           4              0              0             1.0      
   159        15           6              0              0             1.0      
   160        13           5              0              0             1.0      
   161        8            3              0              0             1.0      
   162        10           4              0              0             1.0      
   163        14           5              0              0             1.0      
   164        13           5              0              0             1.0      
   165        14           5              1              0             0.8      
   166        14           5              0              0             1.0      
   167        16           6              0              0             1.0      
   168        10           2              0              0             1.0      
   169        17           7              1              0       0.8571428571428571
   170        15           6              0              0             1.0      
   171        13           5              0              0             1.0      
   172        16           6              1              0       0.8333333333333334
   173        13           5              0              0             1.0      
   174        13           5              0              0             1.0      
   175        12           5              1              0             0.8      
   176        11           4              0              0             1.0      
   177        13           5              1              0             0.8      
   178        11           3              0              0             1.0      
   179        14           6              1              0       0.8333333333333334
   180        14           6              0              0             1.0      
   181        13           5              0              0             1.0      
   182        13           4              1              0            0.75      
   183        19           8              1              0            0.875     
   184        14           5              0              0             1.0      
   185        12           5              0              0             1.0      
   186        14           6              0              0             1.0      
   187        11           3              0              0             1.0      
   188        12           4              1              0            0.75      
   189        9            2              0              0             1.0      
   190        8            3              0              0             1.0      
   191        14           5              1              0             0.8      
   192        14           6              0              0             1.0      
   193        11           4              0              0             1.0      
   194        10           3              0              0             1.0      
   195        13           5              1              0             0.8      
   196        10           3              0              0             1.0      
   197        13           5              0              0             1.0      
   198        17           6              1              0       0.8333333333333334
   199        15           6              1              0       0.8333333333333334
   200        10           3              0              0             1.0      
   201        13           5              0              0             1.0      
   202        11           4              1              0            0.75      
   203        9            3              0              0             1.0      
   204        9            3              0              0             1.0      
   205        14           6              0              0             1.0      
   206        19           8              0              0             1.0      
   207        13           5              0              0             1.0      
   208        9            3              0              0             1.0      
   209        13           4              1              0            0.75      
   210        15           6              1              0       0.8333333333333334
   211        12           4              0              0             1.0      
   212        13           5              0              0             1.0      
   213        11           3              0              0             1.0      
   214        11           5              0              0             1.0      
   215        11           5              0              0             1.0      
   216        13           6              0              0             1.0      
   217        13           6              0              0             1.0      
   218        10           4              0              0             1.0      
   219        11           4              1              0            0.75      
   220        17           7              1              0       0.8571428571428571
   221        9            4              0              0             1.0      
   222        11           5              0              0             1.0      
   223        13           5              0              0             1.0      
   224        12           3              0              0             1.0      
   225        20           8              0              0             1.0      
   226        15           6              1              0       0.8333333333333334
   227        13           6              0              0             1.0      
   228        8            3              0              0             1.0      
   229        11           3              0              0             1.0      
   230        16           7              1              0       0.8571428571428571
   231        8            2              0              0             1.0      
   232        12           5              0              0             1.0      
   233        14           5              0              0             1.0      
   234        14           6              0              0             1.0      
   235        12           5              0              0             1.0      
   236        12           5              0              0             1.0      
   237        17           7              1              0       0.8571428571428571
   238        10           4              0              0             1.0      
   239        11           5              0              0             1.0      
   240        14           6              0              0             1.0      
   241        10           3              0              0             1.0      
   242        18           8              0              0             1.0      
   243        11           4              0              0             1.0      
   244        14           5              0              0             1.0      
   245        16           6              0              0             1.0      
   246        12           5              1              0             0.8      
   247        9            3              0              0             1.0      
   248        10           4              1              0            0.75      
   249        11           5              1              0             0.8      
   250        8            2              0              0             1.0      
   251        14           5              0              0             1.0      
   252        15           6              1              0       0.8333333333333334
   253        13           6              1              0       0.8333333333333334
   254        11           5              1              0             0.8      
   255        15           6              1              0       0.8333333333333334
   256        13           5              1              0             0.8      
   257        18           7              0              0             1.0      
   258        14           6              0              0             1.0      
   259        15           6              1              0       0.8333333333333334
   260        15           6              0              0             1.0      
   261        12           4              0              0             1.0      
   262        10           4              0              0             1.0      
   263        16           7              0              0             1.0      
   264        9            2              0              0             1.0      
   265        18           7              0              0             1.0      
   266        12           4              0              0             1.0      
   267        16           7              1              0       0.8571428571428571
   268        12           5              1              0             0.8      
   269        16           7              0              0             1.0      
   270        13           5              0              0             1.0      
   271        16           7              0              0             1.0      
   272        14           5              1              0             0.8      
   273        13           4              0              0             1.0      
   274        16           6              1              0       0.8333333333333334
   275        15           7              1              0       0.8571428571428571
   276        12           4              0              0             1.0      
   277        11           5              1              0             0.8      
   278        16           7              1              0       0.8571428571428571
   279        16           7              1              0       0.8571428571428571
