   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
    1         17           5              1              0             0.8             4       
    2         20           7              1              0       0.8571428571428571       7       
    3         18           5              1              0             0.8             4       
    4         18           5              0              0             1.0             5       
    5         17           4              1              0            0.75             3       
    6         19           7              1              0       0.8571428571428571       7       
    7         20           7              1              0       0.8571428571428571       7       
    8         18           5              1              0             0.8             6       
    9         18           5              1              0             0.8             4       
    10        18           5              1              0             0.8             5       
    11        20           7              2              0       0.7142857142857143       5       
    12        19           6              0              0             1.0             7       
    13        15           5              0              0             1.0             5       
    14        16           5              1              0             0.8             5       
    15        18           5              1              0             0.8             5       
    16        19           6              1              0       0.8333333333333334       5       
    17        20           7              1              0       0.8571428571428571       6       
    18        11           5              0              0             1.0             6       
    19        18           6              1              0       0.8333333333333334       5       
    20        15           5              0              0             1.0             5       
    21        18           5              1              0             0.8             6       
    22        18           5              0              0             1.0             5       
    23        16           6              1              0       0.8333333333333334       6       
    24        10           2              0              0             1.0             2       
    25        18           5              1              0             0.8             4       
    26        18           5              1              0             0.8             5       
    27        20           7              1              0       0.8571428571428571       7       
    28        18           5              1              0             0.8             5       
    29        21           9              1              0       0.8888888888888888       9       
    30        21           8              1              0            0.875            8       
    31        18           5              1              0             0.8             4       
    32        20           7              0              0             1.0             8       
    33        14           3              0              0             1.0             4       
    34        18           5              1              0             0.8             5       
    35        17           8              1              0            0.875            8       
    36        18           5              1              0             0.8             4       
    37        17           4              0              0             1.0             5       
    38        18           6              0              0             1.0             6       
    39        15           4              0              0             1.0             4       
    40        19           6              1              0       0.8333333333333334       6       
    41        18           5              0              0             1.0             6       
    42        19           6              0              0             1.0             7       
    43        18           6              1              0       0.8333333333333334       5       
    44        17           4              1              0            0.75             3       
    45        18           5              0              0             1.0             5       
    46        15           4              0              0             1.0             4       
    47        17           7              1              0       0.8571428571428571       6       
    48        11           3              1              0       0.6666666666666666       3       
    49        14           4              0              0             1.0             4       
    50        15           6              0              0             1.0             7       
    51        19           6              1              0       0.8333333333333334       6       
    52        18           5              1              0             0.8             5       
    53        15           5              0              0             1.0             6       
    54        16           5              0              0             1.0             5       
    55        17           4              1              0            0.75             3       
    56        11           3              1              0       0.6666666666666666       3       
    57        10           2              0              0             1.0             2       
    58        16           5              0              0             1.0             5       
    59        9            5              0              0             1.0             6       
    60        16           5              1              0             0.8             5       
    61        15           4              0              0             1.0             4       
    62        15           5              0              0             1.0             6       
    63        20           8              1              0            0.875            7       
    64        11           2              0              0             1.0             2       
    65        18           5              1              0             0.8             4       
    66        16           5              1              0             0.8             4       
    67        18           5              1              0             0.8             5       
    68        16           3              0              0             1.0             4       
    69        17           4              0              0             1.0             5       
    70        17           4              0              0             1.0             5       
    71        18           5              1              0             0.8             5       
    72        19           6              1              0       0.8333333333333334       5       
    73        20           7              1              0       0.8571428571428571       6       
    74        18           5              1              0             0.8             5       
    75        16           3              0              0             1.0             3       
    76        20           7              1              0       0.8571428571428571       7       
    77        18           5              1              0             0.8             4       
    78        14           4              0              0             1.0             4       
    79        20           7              1              0       0.8571428571428571       7       
    80        16           6              1              0       0.8333333333333334       6       
    81        17           7              0              0             1.0             7       
    82        18           8              1              0            0.875            7       
    83        12           5              1              0             0.8             4       
    84        18           5              1              0             0.8             4       
    85        15           4              1              0            0.75             4       
    86        18           5              0              0             1.0             6       
    87        19           6              1              0       0.8333333333333334       6       
    88        11           3              1              0       0.6666666666666666       3       
    89        16           7              0              0             1.0             7       
    90        20           7              1              0       0.8571428571428571       6       
    91        19           6              1              0       0.8333333333333334       5       
    92        19           6              0              0             1.0             7       
    93        14           3              0              0             1.0             4       
    94        16           3              0              0             1.0             4       
    95        12           3              0              0             1.0             4       
    96        18           5              0              0             1.0             5       
    97        18           5              1              0             0.8             4       
    98        20           7              0              0             1.0             7       
    99        11           3              1              0       0.6666666666666666       3       
   100        17           4              1              0            0.75             3       
   101        18           5              1              0             0.8             5       
   102        11           3              1              0       0.6666666666666666       3       
   103        16           5              0              0             1.0             6       
   104        18           5              1              0             0.8             4       
   105        17           4              0              0             1.0             5       
   106        17           5              0              0             1.0             5       
   107        18           5              0              0             1.0             5       
   108        19           6              1              0       0.8333333333333334       5       
   109        20           8              1              0            0.875            7       
   110        17           4              0              0             1.0             5       
   111        19           6              1              0       0.8333333333333334       6       
   112        18           5              1              0             0.8             4       
   113        17           4              1              0            0.75             3       
   114        11           4              0              0             1.0             5       
   115        8            4              0              0             1.0             4       
   116        19           7              1              0       0.8571428571428571       6       
   117        18           5              1              0             0.8             5       
   118        19           7              1              0       0.8571428571428571       6       
   119        10           2              0              0             1.0             2       
   120        18           5              0              0             1.0             5       
   121        16           5              0              0             1.0             5       
   122        20           8              1              0            0.875            7       
   123        18           5              0              0             1.0             6       
   124        18           5              1              0             0.8             5       
   125        17           4              0              0             1.0             6       
   126        14           3              0              0             1.0             4       
   127        17           4              1              0            0.75             4       
   128        20           8              1              0            0.875            7       
   129        19           7              1              0       0.8571428571428571       7       
   130        19           6              2              0       0.6666666666666666       5       
   131        16           3              0              0             1.0             3       
   132        19           6              0              0             1.0             7       
   133        20           7              1              0       0.8571428571428571       7       
   134        18           5              1              0             0.8             5       
   135        15           4              1              0            0.75             4       
   136        18           5              0              0             1.0             6       
   137        16           5              0              0             1.0             5       
   138        19           6              1              0       0.8333333333333334       6       
   139        10           2              0              0             1.0             3       
   140        16           5              0              0             1.0             5       
   141        10           6              0              0             1.0             7       
   142        18           5              1              0             0.8             4       
   143        18           6              1              0       0.8333333333333334       6       
   144        18           5              0              0             1.0             5       
   145        15           5              0              0             1.0             5       
   146        17           7              0              0             1.0             8       
   147        17           4              0              0             1.0             5       
   148        18           5              1              0             0.8             5       
   149        14           4              0              0             1.0             4       
   150        18           5              1              0             0.8             5       
   151        17           6              1              0       0.8333333333333334       5       
   152        10           2              0              0             1.0             2       
   153        17           4              0              0             1.0             5       
   154        11           3              1              0       0.6666666666666666       3       
   155        18           5              1              0             0.8             4       
   156        14           3              0              0             1.0             4       
   157        18           5              1              0             0.8             6       
