   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
    1         16           5              1              0             0.8             4       
    2         19           7              1              0       0.8571428571428571       7       
    3         17           5              1              0             0.8             4       
    4         17           5              0              0             1.0             6       
    5         16           4              1              0            0.75             4       
    6         18           7              1              0       0.8571428571428571       7       
    7         19           7              1              0       0.8571428571428571       6       
    8         17           5              1              0             0.8             5       
    9         17           5              1              0             0.8             5       
    10        17           5              1              0             0.8             5       
    11        19           7              2              0       0.7142857142857143       5       
    12        18           6              0              0             1.0             7       
    13        15           5              0              0             1.0             6       
    14        16           5              1              0             0.8             4       
    15        17           5              1              0             0.8             5       
    16        18           6              1              0       0.8333333333333334       5       
    17        19           7              1              0       0.8571428571428571       7       
    18        11           5              0              0             1.0             5       
    19        17           6              1              0       0.8333333333333334       5       
    20        15           5              0              0             1.0             6       
    21        17           5              1              0             0.8             4       
    22        17           5              0              0             1.0             5       
    23        16           6              1              0       0.8333333333333334       6       
    24        10           2              0              0             1.0             3       
    25        17           5              1              0             0.8             5       
    26        17           5              1              0             0.8             5       
    27        19           7              1              0       0.8571428571428571       6       
    28        17           5              1              0             0.8             5       
    29        20           9              1              0       0.8888888888888888       9       
    30        20           8              1              0            0.875            8       
    31        17           5              1              0             0.8             5       
    32        19           7              0              0             1.0             7       
    33        14           3              0              0             1.0             5       
    34        17           5              1              0             0.8             5       
    35        17           8              1              0            0.875            8       
    36        17           5              1              0             0.8             5       
    37        16           4              0              0             1.0             5       
    38        17           6              0              0             1.0             7       
    39        15           4              0              0             1.0             4       
    40        18           6              1              0       0.8333333333333334       6       
    41        17           5              0              0             1.0             5       
    42        18           6              0              0             1.0             6       
    43        17           6              1              0       0.8333333333333334       5       
    44        16           4              1              0            0.75             3       
    45        17           5              0              0             1.0             6       
    46        15           4              0              0             1.0             4       
    47        17           7              1              0       0.8571428571428571       7       
    48        11           3              1              0       0.6666666666666666       3       
    49        14           4              0              0             1.0             4       
    50        15           6              0              0             1.0             7       
    51        18           6              1              0       0.8333333333333334       5       
    52        17           5              1              0             0.8             4       
    53        15           5              0              0             1.0             6       
    54        16           5              0              0             1.0             6       
    55        16           4              1              0            0.75             3       
    56        11           3              1              0       0.6666666666666666       3       
    57        10           2              0              0             1.0             2       
    58        16           5              0              0             1.0             6       
    59        9            5              0              0             1.0             6       
    60        16           5              1              0             0.8             4       
    61        15           4              0              0             1.0             5       
    62        15           5              0              0             1.0             5       
    63        19           8              1              0            0.875            7       
    64        11           2              0              0             1.0             2       
    65        17           5              1              0             0.8             4       
    66        16           5              1              0             0.8             4       
    67        17           5              1              0             0.8             4       
    68        15           3              0              0             1.0             4       
    69        16           4              0              0             1.0             5       
    70        16           4              0              0             1.0             5       
    71        17           5              1              0             0.8             5       
    72        18           6              1              0       0.8333333333333334       5       
    73        19           7              1              0       0.8571428571428571       6       
