   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover      Recall     
   3001       11           6              0              0             1.0             6       
   3002       10           5             -1              0             1.2             6       
   3003       11           5             -2              0             1.4             7       
   3004       10           3             -3              0             2.0             6       
   3005       10           4             -3              0            1.75             7       
   3006       10           3             -1              0       1.3333333333333333       4       
   3007       11           5             -2              0             1.4             7       
   3008       10           3             -1              0       1.3333333333333333       4       
   3009       11           7              1              0       0.8571428571428571       6       
   3010       10           3             -2              0       1.6666666666666667       5       
   3011       10           4             -3              0            1.75             7       
   3012       10           6             -1              0       1.1666666666666667       7       
   3013       11           5             -2              0             1.4             7       
   3014       11           5             -2              0             1.4             7       
   3015       10           4             -1              0            1.25             5       
   3016       11           6              0              0             1.0             6       
   3017       11           5             -1              0             1.2             6       
   3018       11           7              0              0             1.0             7       
   3019       10           3             -2              0       1.6666666666666667       5       
   3020       10           3             -1              0       1.3333333333333333       4       
   3021       10           3             -2              0       1.6666666666666667       6       
   3022       11           6             -1              0       1.1666666666666667       7       
   3023       11           6              0              0             1.0             6       
   3024       11           5             -2              0             1.4             7       
   3025       11           5             -1              0             1.2             6       
   3026       11           5             -2              0             1.4             7       
   3027       11           6             -2              0       1.3333333333333333       8       
   3028       11           6              0              0             1.0             6       
   3029       11           7              1              0       0.8571428571428571       6       
   3030       11           6             -1              0       1.1666666666666667       7       
   3031       11           5             -2              0             1.4             7       
   3032       11           6             -1              0       1.1666666666666667       7       
   3033       11           5             -1              0             1.2             6       
   3034       11           6              0              0             1.0             6       
   3035       10           2             -2              0             2.0             5       
   3036       10           5             -2              0             1.4             7       
   3037       11           8              1              0            0.875            7       
   3038       11           7              1              0       0.8571428571428571       6       
   3039       11           7              1              0       0.8571428571428571       6       
   3040       10           3             -2              0       1.6666666666666667       5       
   3041       11           5             -1              0             1.2             6       
   3042       11           8              2              0            0.75             6       
   3043       11           5             -2              0             1.4             7       
   3044       9            2             -2              0             2.0             5       
   3045       11           5             -1              0             1.2             6       
   3046       11           6              0              0             1.0             6       
   3047       10           3             -2              0       1.6666666666666667       6       
   3048       10           2             -2              0             2.0             4       
   3049       11           5             -2              0             1.4             7       
   3050       10           3             -1              0       1.3333333333333333       4       
   3051       11           8              2              0            0.75             6       
   3052       10           3             -1              0       1.3333333333333333       4       
   3053       9            3             -2              0       1.6666666666666667       6       
   3054       11           5             -1              0             1.2             6       
   3055       11           5             -2              0             1.4             7       
   3056       11           5             -1              0             1.2             6       
   3057       11           5             -2              0             1.4             7       
   3058       10           5             -1              0             1.2             6       
   3059       11           6              1              0       0.8333333333333334       5       
   3060       10           3             -3              0             2.0             7       
   3061       11           8              1              0            0.875            7       
   3062       11           5             -1              0             1.2             6       
   3063       11           6             -1              0       1.1666666666666667       7       
   3064       10           7              0              0             1.0             7       
   3065       11           4             -1              0            1.25             5       
   3066       11           5             -2              0             1.4             7       
   3067       10           3             -3              0             2.0             6       
   3068       11           7              1              0       0.8571428571428571       6       
   3069       11           5             -2              0             1.4             7       
   3070       11           5             -2              0             1.4             7       
   3071       11           5             -1              0             1.2             6       
   3072       10           5             -1              0             1.2             6       
   3073       10           4             -1              0            1.25             5       
   3074       11           5             -1              0             1.2             6       
   3075       11           8              2              0            0.75             6       
   3076       10           5             -2              0             1.4             8       
   3077       10           3             -3              0             2.0             6       
   3078       11           4             -1              0            1.25             5       
   3079       11           5             -2              0             1.4             7       
   3080       11           6              0              0             1.0             6       
   3081       11           5             -2              0             1.4             7       
   3082       10           4             -2              0             1.5             6       
   3083       11           7              0              0             1.0             7       
   3084       10           5              0              0             1.0             6       
   3085       11           7              0              0             1.0             7       
   3086       9            4             -1              0            1.25             6       
   3087       10           4             -3              0            1.75             7       
   3088       9            2             -2              0             2.0             4       
   3089       11           5             -1              0             1.2             6       
   3090       10           3             -1              0       1.3333333333333333       4       
   3091       11           5             -1              0             1.2             6       
   3092       11           5             -1              0             1.2             6       
   3093       10           3             -2              0       1.6666666666666667       5       
   3094       11           5              0              0             1.0             5       
   3095       10           4             -2              0             1.5             6       
   3096       10           5             -1              0             1.2             6       
   3097       11           4             -1              0            1.25             5       
   3098       11           5             -2              0             1.4             7       
   3099       10           6              0              0             1.0             6       
   3100       10           3             -3              0             2.0             6       
   3101       11           4             -1              0            1.25             5       
   3102       11           5             -1              0             1.2             6       
   3103       10           5             -1              0             1.2             6       
   3104       11           6             -1              0       1.1666666666666667       7       
   3105       11           5             -1              0             1.2             6       
   3106       10           7              0              0             1.0             7       
   3107       10           2             -2              0             2.0             4       
   3108       11           5             -2              0             1.4             7       
   3109       10           4             -2              0             1.5             6       
   3110       11           5             -1              0             1.2             6       
   3111       10           5              1              0             0.8             4       
   3112       11           5             -1              0             1.2             6       
   3113       10           6             -1              0       1.1666666666666667       7       
   3114       11           7              1              0       0.8571428571428571       6       
   3115       10           2             -2              0             2.0             4       
   3116       10           3             -2              0       1.6666666666666667       6       
   3117       10           2             -2              0             2.0             4       
   3118       10           3             -2              0       1.6666666666666667       5       
   3119       11           7              0              0             1.0             7       
   3120       10           4             -3              0            1.75             7       
   3121       9            2             -2              0             2.0             5       
   3122       11           5             -1              0             1.2             6       
   3123       11           4             -1              0            1.25             5       
   3124       11           4             -1              0            1.25             5       
   3125       10           2             -2              0             2.0             4       
   3126       10           3             -2              0       1.6666666666666667       6       
   3127       11           7              1              0       0.8571428571428571       6       
   3128       11           7              1              0       0.8571428571428571       6       
   3129       11           7              1              0       0.8571428571428571       6       
   3130       10           6             -1              0       1.1666666666666667       7       
   3131       11           7              1              0       0.8571428571428571       6       
   3132       11           4             -1              0            1.25             5       
   3133       11           7             -1              0       1.1428571428571428       8       
   3134       10           3             -1              0       1.3333333333333333       4       
