   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover      Recall     
   500        10           4             -2              0             1.5             6       
   501        11           6              0              0             1.0             6       
   502        11           5             -3              0             1.6             8       
   503        11           5             -2              0             1.4             7       
   504        10           4             -2              0             1.5             6       
   505        10           6              0              0             1.0             6       
   506        10           2             -2              0             2.0             5       
   507        11           6              0              0             1.0             6       
   508        11           4             -2              0             1.5             6       
   509        10           3             -1              0       1.3333333333333333       4       
   510        10           6             -2              0       1.3333333333333333       8       
   511        10           2             -2              0             2.0             4       
   512        10           4             -3              0            1.75             7       
   513        11           9              2              0       0.7777777777777778       7       
   514        11           5             -2              0             1.4             7       
   515        11           6              0              0             1.0             6       
   516        11           5             -1              0             1.2             6       
   517        10           5              1              0             0.8             4       
   518        11           5              0              0             1.0             5       
   519        10           4             -2              0             1.5             6       
   520        11           8              1              0            0.875            7       
   521        10           3             -1              0       1.3333333333333333       4       
   522        11           7              0              0             1.0             7       
   523        11           8              1              0            0.875            7       
   524        11           5             -1              0             1.2             6       
   525        11           6              0              0             1.0             6       
   526        10           3             -2              0       1.6666666666666667       5       
   527        10           5             -1              0             1.2             6       
   528        11           4             -1              0            1.25             5       
   529        11           7              0              0             1.0             7       
   530        10           6             -1              0       1.1666666666666667       7       
   531        9            3             -2              0       1.6666666666666667       5       
   532        9            2             -2              0             2.0             5       
   533        10           2             -2              0             2.0             5       
   534        11           7              1              0       0.8571428571428571       6       
   535        11           6              0              0             1.0             6       
   536        11           5             -2              0             1.4             7       
   537        9            3             -2              0       1.6666666666666667       6       
   538        11           7              0              0             1.0             7       
   539        10           6             -1              0       1.1666666666666667       7       
   540        11           7              1              0       0.8571428571428571       6       
   541        11           7              1              0       0.8571428571428571       6       
   542        11           7              1              0       0.8571428571428571       6       
   543        11           5             -2              0             1.4             7       
   544        11           4             -2              0             1.5             6       
   545        11           5             -2              0             1.4             7       
   546        10           2             -2              0             2.0             5       
   547        11           6             -1              0       1.1666666666666667       7       
   548        11           5             -2              0             1.4             7       
   549        11           6              0              0             1.0             6       
   550        11           5             -2              0             1.4             7       
   551        10           4             -3              0            1.75             8       
   552        11           5             -2              0             1.4             7       
   553        11           7              0              0             1.0             7       
   554        11           6             -1              0       1.1666666666666667       7       
   555        11           6             -1              0       1.1666666666666667       7       
   556        10           3             -2              0       1.6666666666666667       5       
   557        11           9              2              0       0.7777777777777778       7       
   558        11           6             -1              0       1.1666666666666667       7       
   559        11           6              0              0             1.0             6       
   560        9            2             -2              0             2.0             5       
   561        9            3             -2              0       1.6666666666666667       5       
   562        11           4             -2              0             1.5             6       
   563        10           5             -1              0             1.2             6       
   564        11           5             -1              0             1.2             6       
   565        11           5             -1              0             1.2             6       
   566        10           4             -2              0             1.5             6       
   567        10           7              0              0             1.0             7       
   568        11           6             -1              0       1.1666666666666667       7       
   569        10           4             -1              0            1.25             6       
   570        10           2             -2              0             2.0             5       
   571        11           6             -1              0       1.1666666666666667       7       
   572        11           6              0              0             1.0             6       
   573        11           7              0              0             1.0             7       
   574        10           4             -3              0            1.75             7       
   575        11           7              1              0       0.8571428571428571       6       
   576        11           4             -2              0             1.5             6       
   577        11           6             -1              0       1.1666666666666667       7       
   578        11           5             -2              0             1.4             7       
   579        11           6              0              0             1.0             6       
   580        11           5             -1              0             1.2             6       
   581        9            2             -2              0             2.0             5       
   582        10           5              0              0             1.0             5       
   583        11           6             -1              0       1.1666666666666667       7       
   584        10           3             -1              0       1.3333333333333333       4       
   585        10           4             -1              0            1.25             5       
   586        10           4             -2              0             1.5             6       
   587        11           4             -2              0             1.5             6       
   588        10           4             -1              0            1.25             5       
   589        11           6             -1              0       1.1666666666666667       7       
   590        11           6             -1              0       1.1666666666666667       7       
   591        11           6             -1              0       1.1666666666666667       7       
   592        10           4              0              0             1.0             4       
   593        11           5             -2              0             1.4             7       
   594        10           4             -3              0            1.75             7       
   595        11           4             -2              0             1.5             6       
   596        10           5             -2              0             1.4             7       
   597        9            3             -2              0       1.6666666666666667       6       
   598        11           4             -1              0            1.25             5       
   599        11           6             -1              0       1.1666666666666667       7       
   600        11           7              0              0             1.0             7       
   601        11           5             -1              0             1.2             6       
   602        10           3             -2              0       1.6666666666666667       5       
   603        11           6              0              0             1.0             6       
   604        11           6             -1              0       1.1666666666666667       7       
   605        10           3             -2              0       1.6666666666666667       5       
   606        11           6             -1              0       1.1666666666666667       7       
   607        11           5             -2              0             1.4             7       
   608        11           4             -2              0             1.5             6       
   609        11           7              1              0       0.8571428571428571       6       
   610        11           6             -1              0       1.1666666666666667       7       
   611        10           4             -3              0            1.75             7       
   612        9            3             -2              0       1.6666666666666667       6       
   613        11           4             -1              0            1.25             5       
   614        11           5             -2              0             1.4             7       
   615        11           6             -1              0       1.1666666666666667       7       
   616        11           5             -1              0             1.2             6       
   617        11           4             -3              0            1.75             7       
   618        10           4             -3              0            1.75             8       
   619        10           6             -1              0       1.1666666666666667       7       
   620        11           5             -2              0             1.4             7       
   621        11           5             -1              0             1.2             6       
   622        11           7              1              0       0.8571428571428571       6       
   623        11           4             -2              0             1.5             6       
   624        11           6             -1              0       1.1666666666666667       7       
   625        11           5             -1              0             1.2             6       
   626        10           5             -1              0             1.2             6       
   627        10           2             -2              0             2.0             4       
   628        10           5              0              0             1.0             5       
   629        11           5             -2              0             1.4             7       
   630        11           6              0              0             1.0             6       
   631        11           5             -1              0             1.2             6       
   632        11           8              2              0            0.75             6       
   633        11           6             -1              0       1.1666666666666667       7       
   634        11           6             -1              0       1.1666666666666667       7       
   635        11           7              0              0             1.0             7       
   636        11           5             -2              0             1.4             7       
   637        11           7              0              0             1.0             7       
   638        11           7              0              0             1.0             7       
   639        10           5             -2              0             1.4             7       
   640        11           6             -1              0       1.1666666666666667       7       
   641        11           6             -2              0       1.3333333333333333       8       
   642        11           6             -1              0       1.1666666666666667       7       
   643        11           6             -1              0       1.1666666666666667       7       
   644        10           5             -2              0             1.4             7       
   645        11           7              1              0       0.8571428571428571       6       
   646        10           3             -2              0       1.6666666666666667       5       
   647        11           4             -1              0            1.25             5       
   648        10           6             -1              0       1.1666666666666667       7       
   649        11           5             -1              0             1.2             6       
   650        11           8              2              0            0.75             6       
   651        11           8              2              0            0.75             6       
   652        11           7              1              0       0.8571428571428571       6       
   653        10           4             -2              0             1.5             7       
   654        10           2             -2              0             2.0             4       
   655        11           7              1              0       0.8571428571428571       6       
   656        11           8              1              0            0.875            7       
   657        11           5             -1              0             1.2             6       
   658        10           4             -2              0             1.5             6       
   659        11           4             -2              0             1.5             6       
   660        11           7              0              0             1.0             7       
   661        11           8              1              0            0.875            7       
   662        11           5             -2              0             1.4             7       
   663        10           2             -2              0             2.0             4       
   664        11           5             -2              0             1.4             7       
   665        11           5             -1              0             1.2             6       
   666        11           5             -2              0             1.4             7       
   667        11           7              0              0             1.0             7       
   668        11           6             -1              0       1.1666666666666667       7       
   669        11           4             -2              0             1.5             6       
   670        10           3             -2              0       1.6666666666666667       6       
   671        11           7              1              0       0.8571428571428571       6       
   672        10           2             -2              0             2.0             5       
   673        10           4             -2              0             1.5             6       
   674        11           6              0              0             1.0             6       
   675        10           5             -1              0             1.2             6       
   676        10           3             -2              0       1.6666666666666667       6       
   677        10           4             -2              0             1.5             6       
   678        11           6             -1              0       1.1666666666666667       7       
   679        11           4             -3              0            1.75             7       
   680        11           9              2              0       0.7777777777777778       7       
   681        10           7              0              0             1.0             7       
   682        11           5             -2              0             1.4             7       
   683        11           6             -1              0       1.1666666666666667       7       
   684        10           3             -1              0       1.3333333333333333       4       
   685        10           7              0              0             1.0             7       
   686        11           5              0              0             1.0             5       
   687        10           4             -2              0             1.5             6       
   688        11           7              0              0             1.0             7       
   689        11           5             -2              0             1.4             7       
   690        10           3             -2              0       1.6666666666666667       6       
   691        11           6             -1              0       1.1666666666666667       7       
   692        11           5             -2              0             1.4             7       
   693        11           6             -2              0       1.3333333333333333       8       
   694        9            3             -2              0       1.6666666666666667       6       
   695        11           8              2              0            0.75             6       
   696        11           4             -2              0             1.5             6       
   697        10           2             -2              0             2.0             5       
   698        11           8              2              0            0.75             6       
   699        11           5             -2              0             1.4             7       
   700        11           6              0              0             1.0             6       
   701        10           3             -2              0       1.6666666666666667       5       
   702        11           4             -1              0            1.25             5       
   703        11           8              1              0            0.875            7       
   704        10           4             -3              0            1.75             7       
   705        10           4             -1              0            1.25             5       
   706        10           6             -1              0       1.1666666666666667       7       
   707        10           3             -1              0       1.3333333333333333       4       
   708        11           5             -2              0             1.4             7       
   709        10           5             -2              0             1.4             7       
   710        11           4             -3              0            1.75             8       
   711        11           6              0              0             1.0             6       
   712        10           4             -2              0             1.5             6       
   713        11           5             -2              0             1.4             7       
   714        11           6             -1              0       1.1666666666666667       7       
   715        10           4             -1              0            1.25             5       
   716        11           5              0              0             1.0             5       
   717        11           6             -1              0       1.1666666666666667       7       
   718        10           3             -2              0       1.6666666666666667       5       
   719        9            2             -2              0             2.0             5       
   720        11           7              1              0       0.8571428571428571       6       
   721        10           5             -1              0             1.2             6       
   722        10           3             -2              0       1.6666666666666667       6       
   723        10           3             -2              0       1.6666666666666667       6       
   724        11           6              0              0             1.0             6       
   725        10           2             -2              0             2.0             4       
   726        10           3             -3              0             2.0             6       
   727        11           6              0              0             1.0             6       
   728        11           5             -2              0             1.4             7       
   729        11           4             -1              0            1.25             5       
   730        10           2             -2              0             2.0             5       
   731        10           4             -1              0            1.25             5       
   732        11           6              0              0             1.0             6       
   733        11           6             -1              0       1.1666666666666667       7       
   734        10           5             -2              0             1.4             7       
   735        11           5             -1              0             1.2             6       
   736        11           5             -2              0             1.4             7       
   737        10           6             -1              0       1.1666666666666667       7       
   738        11           4             -3              0            1.75             7       
   739        11           7              0              0             1.0             7       
   740        10           5             -1              0             1.2             6       
   741        10           4             -1              0            1.25             5       
   742        11           7              0              0             1.0             7       
   743        10           5             -1              0             1.2             6       
   744        10           4             -1              0            1.25             6       
   745        11           5              0              0             1.0             5       
   746        11           7              0              0             1.0             7       
   747        10           4             -3              0            1.75             7       
   748        10           4             -2              0             1.5             6       
   749        10           3             -2              0       1.6666666666666667       5       
   750        10           3             -1              0       1.3333333333333333       4       
   751        11           8              1              0            0.875            7       
   752        11           5             -1              0             1.2             6       
   753        11           6              0              0             1.0             6       
   754        11           5             -1              0             1.2             6       
   755        11           6              0              0             1.0             6       
   756        10           2             -2              0             2.0             5       
   757        11           5              0              0             1.0             5       
   758        11           5             -2              0             1.4             7       
   759        9            3             -2              0       1.6666666666666667       5       
   760        10           4             -2              0             1.5             6       
   761        11           5             -2              0             1.4             7       
   762        11           8              1              0            0.875            7       
   763        11           6             -1              0       1.1666666666666667       7       
   764        10           5             -2              0             1.4             8       
   765        11           5             -2              0             1.4             7       
   766        11           5             -2              0             1.4             7       
   767        11           5             -2              0             1.4             7       
   768        11           6             -1              0       1.1666666666666667       7       
   769        11           7              1              0       0.8571428571428571       6       
   770        11           7              1              0       0.8571428571428571       6       
   771        11           5              0              0             1.0             5       
   772        11           4             -2              0             1.5             6       
   773        10           5              1              0             0.8             4       
   774        11           6             -1              0       1.1666666666666667       7       
   775        11           5             -1              0             1.2             6       
   776        11           6             -1              0       1.1666666666666667       7       
   777        11           4             -1              0            1.25             5       
   778        9            2             -2              0             2.0             4       
   779        11           4             -1              0            1.25             5       
   780        10           5             -1              0             1.2             6       
   781        10           4             -3              0            1.75             7       
   782        9            2             -2              0             2.0             5       
   783        11           5             -1              0             1.2             6       
   784        10           3             -2              0       1.6666666666666667       5       
   785        11           5             -1              0             1.2             6       
   786        11           5             -2              0             1.4             7       
   787        11           6              0              0             1.0             6       
   788        10           4             -3              0            1.75             8       
   789        10           4             -3              0            1.75             7       
   790        11           6              0              0             1.0             6       
   791        10           4             -2              0             1.5             6       
   792        10           2             -2              0             2.0             4       
   793        10           5             -2              0             1.4             7       
   794        10           4             -3              0            1.75             7       
   795        10           3             -3              0             2.0             6       
   796        10           7              0              0             1.0             7       
   797        11           7              0              0             1.0             7       
   798        11           8              1              0            0.875            7       
   799        11           6             -1              0       1.1666666666666667       7       
   800        11           5             -1              0             1.2             6       
   801        10           3             -1              0       1.3333333333333333       4       
   802        10           6             -1              0       1.1666666666666667       7       
   803        10           4             -3              0            1.75             7       
   804        11           6             -1              0       1.1666666666666667       7       
   805        11           5             -2              0             1.4             7       
   806        11           7              1              0       0.8571428571428571       6       
   807        10           2             -2              0             2.0             4       
   808        11           7              0              0             1.0             7       
   809        10           4             -1              0            1.25             5       
   810        11           6              0              0             1.0             6       
   811        11           7              0              0             1.0             7       
   812        11           6              0              0             1.0             6       
   813        10           4             -2              0             1.5             6       
   814        11           4             -3              0            1.75             8       
   815        11           5             -1              0             1.2             6       
   816        11           7              0              0             1.0             7       
   817        11           6             -1              0       1.1666666666666667       7       
   818        11           5             -2              0             1.4             7       
   819        11           5             -1              0             1.2             6       
   820        10           4             -2              0             1.5             6       
   821        11           5             -1              0             1.2             6       
   822        11           5             -2              0             1.4             7       
   823        11           6             -1              0       1.1666666666666667       7       
   824        10           5             -1              0             1.2             6       
   825        11           6             -1              0       1.1666666666666667       7       
   826        11           6             -1              0       1.1666666666666667       7       
   827        11           7              1              0       0.8571428571428571       6       
   828        10           4             -2              0             1.5             6       
   829        10           4             -3              0            1.75             7       
   830        11           5             -2              0             1.4             7       
   831        11           6             -1              0       1.1666666666666667       7       
   832        11           6             -1              0       1.1666666666666667       7       
   833        11           6              0              0             1.0             6       
   834        11           5             -2              0             1.4             7       
   835        11           6             -1              0       1.1666666666666667       7       
   836        10           4             -1              0            1.25             5       
   837        11           5             -2              0             1.4             7       
   838        11           5             -2              0             1.4             7       
   839        10           4             -2              0             1.5             6       
   840        11           5             -1              0             1.2             6       
   841        10           3             -2              0       1.6666666666666667       5       
   842        11           4             -3              0            1.75             7       
   843        11           7              1              0       0.8571428571428571       6       
   844        10           3             -1              0       1.3333333333333333       4       
   845        10           3             -3              0             2.0             6       
   846        11           5             -1              0             1.2             6       
   847        11           6             -1              0       1.1666666666666667       7       
   848        11           8              1              0            0.875            7       
   849        11           5             -2              0             1.4             7       
   850        10           4             -1              0            1.25             5       
   851        11           6             -1              0       1.1666666666666667       7       
   852        10           5             -2              0             1.4             7       
   853        11           7              1              0       0.8571428571428571       6       
   854        11           7              1              0       0.8571428571428571       6       
   855        11           4             -1              0            1.25             5       
   856        11           7              1              0       0.8571428571428571       6       
   857        10           4             -2              0             1.5             6       
   858        10           4             -2              0             1.5             6       
   859        11           6             -1              0       1.1666666666666667       7       
   860        10           4             -1              0            1.25             5       
   861        10           4             -1              0            1.25             5       
   862        9            4             -1              0            1.25             6       
   863        11           6             -1              0       1.1666666666666667       7       
   864        10           4             -1              0            1.25             5       
   865        11           7              1              0       0.8571428571428571       6       
   866        11           7              0              0             1.0             7       
   867        11           5             -1              0             1.2             6       
   868        11           5             -2              0             1.4             7       
   869        10           3             -2              0       1.6666666666666667       5       
   870        11           6             -2              0       1.3333333333333333       8       
   871        10           4             -1              0            1.25             7       
   872        11           4             -2              0             1.5             6       
   873        11           5             -2              0             1.4             7       
   874        11           7              0              0             1.0             7       
   875        11           6              0              0             1.0             6       
   876        11           5             -1              0             1.2             6       
   877        11           5              0              0             1.0             5       
   878        10           3             -3              0             2.0             6       
   879        11           4             -2              0             1.5             6       
   880        11           4             -2              0             1.5             6       
   881        11           5             -2              0             1.4             7       
   882        11           4             -2              0             1.5             6       
   883        11           6              0              0             1.0             6       
   884        11           8              2              0            0.75             6       
   885        11           6             -1              0       1.1666666666666667       7       
   886        10           4             -2              0             1.5             6       
   887        11           5             -2              0             1.4             7       
   888        11           5             -2              0             1.4             7       
   889        11           6             -1              0       1.1666666666666667       7       
   890        10           3             -2              0       1.6666666666666667       6       
   891        11           7              1              0       0.8571428571428571       6       
   892        10           5             -2              0             1.4             7       
   893        11           5             -1              0             1.2             6       
   894        10           6             -1              0       1.1666666666666667       7       
   895        11           5             -2              0             1.4             7       
   896        11           5             -2              0             1.4             7       
   897        11           6              0              0             1.0             6       
   898        10           4             -3              0            1.75             7       
   899        11           5              0              0             1.0             5       
   900        11           4             -3              0            1.75             7       
   901        11           5             -2              0             1.4             7       
   902        10           5             -1              0             1.2             6       
   903        9            3             -2              0       1.6666666666666667       6       
   904        11           5             -2              0             1.4             7       
   905        11           4             -1              0            1.25             5       
   906        10           3             -2              0       1.6666666666666667       6       
   907        11           4             -1              0            1.25             5       
   908        10           8              1              0            0.875            7       
   909        11           5             -1              0             1.2             6       
   910        10           6             -1              0       1.1666666666666667       7       
   911        11           6              0              0             1.0             6       
   912        10           6             -2              0       1.3333333333333333       8       
   913        9            2             -2              0             2.0             6       
   914        11           5             -2              0             1.4             7       
   915        9            4             -1              0            1.25             7       
   916        11           4             -2              0             1.5             6       
   917        11           5             -1              0             1.2             6       
   918        11           5              0              0             1.0             5       
   919        11           5             -2              0             1.4             7       
   920        11           5             -1              0             1.2             6       
   921        11           7              0              0             1.0             7       
   922        10           5              0              0             1.0             5       
   923        11           5             -1              0             1.2             6       
   924        11           6              0              0             1.0             6       
   925        11           7              0              0             1.0             7       
   926        11           6              0              0             1.0             6       
   927        11           6             -2              0       1.3333333333333333       8       
   928        11           7              1              0       0.8571428571428571       6       
   929        10           6             -1              0       1.1666666666666667       7       
   930        11           7              0              0             1.0             7       
   931        9            4             -1              0            1.25             6       
   932        10           4             -3              0            1.75             7       
   933        9            3             -2              0       1.6666666666666667       6       
   934        10           3             -2              0       1.6666666666666667       5       
   935        10           3             -2              0       1.6666666666666667       5       
   936        10           5             -2              0             1.4             7       
   937        11           6             -1              0       1.1666666666666667       7       
   938        11           6             -1              0       1.1666666666666667       7       
