   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
    1         18           5              0              0             1.0      
    2         21           7              0              0             1.0      
    3         16           5              1              0             0.8      
    4         15           5              0              0             1.0      
    5         14           4              1              0            0.75      
    6         24           7              1              0       0.8571428571428571
    7         22           7              1              0       0.8571428571428571
    8         16           5              1              0             0.8      
    9         16           5              1              0             0.8      
    10        16           5              1              0             0.8      
    11        23           7              2              0       0.7142857142857143
    12        18           6              0              0             1.0      
    13        16           5              0              0             1.0      
    14        17           5              1              0             0.8      
    15        15           5              0              0             1.0      
    16        19           6              1              0       0.8333333333333334
    17        22           7              1              0       0.8571428571428571
    18        20           5              0              0             1.0      
    19        21           6              1              0       0.8333333333333334
    20        18           5              0              0             1.0      
    21        15           5              0              0             1.0      
    22        15           5              0              0             1.0      
    23        21           6              1              0       0.8333333333333334
    24        8            2              0              0             1.0      
    25        15           5              0              0             1.0      
    26        17           5              0              0             1.0      
    27        22           7              1              0       0.8571428571428571
    28        16           5              1              0             0.8      
    29        29           9              0              0             1.0      
    30        25           8              1              0            0.875     
    31        16           5              1              0             0.8      
    32        21           7              0              0             1.0      
    33        10           3              0              0             1.0      
    34        16           5              1              0             0.8      
    35        28           8              0              0             1.0      
    36        16           5              1              0             0.8      
    37        11           4              0              0             1.0      
    38        20           6              0              0             1.0      
    39        13           4              0              0             1.0      
    40        19           6              1              0       0.8333333333333334
    41        15           5              0              0             1.0      
    42        18           6              0              0             1.0      
    43        20           6              0              0             1.0      
    44        14           4              1              0            0.75      
    45        15           5              0              0             1.0      
    46        13           4              0              0             1.0      
    47        26           7              1              0       0.8571428571428571
    48        10           3              0              0             1.0      
    49        15           4              0              0             1.0      
    50        23           6              0              0             1.0      
    51        19           6              1              0       0.8333333333333334
    52        15           5              0              0             1.0      
    53        18           5              0              0             1.0      
    54        16           5              0              0             1.0      
    55        14           4              1              0            0.75      
    56        11           3              0              0             1.0      
    57        8            2              0              0             1.0      
    58        15           5              0              0             1.0      
    59        17           5              0              0             1.0      
    60        16           5              0              0             1.0      
    61        13           4              0              0             1.0      
    62        17           5              0              0             1.0      
    63        26           8              0              0             1.0      
    64        7            2              0              0             1.0      
    65        16           5              1              0             0.8      
    66        17           5              1              0             0.8      
    67        16           5              1              0             0.8      
    68        10           3              0              0             1.0      
    69        11           4              0              0             1.0      
    70        12           4              0              0             1.0      
    71        16           5              1              0             0.8      
    72        19           6              1              0       0.8333333333333334
    73        21           7              0              0             1.0      
    74        16           5              1              0             0.8      
    75        9            3              0              0             1.0      
    76        22           7              1              0       0.8571428571428571
    77        16           5              1              0             0.8      
    78        14           4              0              0             1.0      
    79        22           7              1              0       0.8571428571428571
