   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
    1         7            5              2              0             0.6      
    2         12           7              1              0       0.8571428571428571
    3         10           5              1              0             0.8      
    4         11           5              0              0             1.0      
    5         7            4              1              0            0.75      
    6         11           7              2              0       0.7142857142857143
    7         12           7              1              0       0.8571428571428571
    8         10           5              1              0             0.8      
    9         10           5              1              0             0.8      
    10        10           5              1              0             0.8      
    11        12           7              2              0       0.7142857142857143
    12        12           6              0              0             1.0      
    13        10           5              1              0             0.8      
    14        9            5              1              0             0.8      
    15        10           5              1              0             0.8      
    16        11           6              1              0       0.8333333333333334
    17        12           7              1              0       0.8571428571428571
    18        7            5              2              0             0.6      
    19        10           6              2              0       0.6666666666666666
    20        11           5              1              0             0.8      
    21        10           5              1              0             0.8      
    22        11           5              0              0             1.0      
    23        10           6              2              0       0.6666666666666666
    24        5            2              0              0             1.0      
    25        10           5              1              0             0.8      
    26        10           5              1              0             0.8      
    27        12           7              1              0       0.8571428571428571
    28        10           5              1              0             0.8      
    29        13           9              2              0       0.7777777777777778
    30        13           8              1              0            0.875     
    31        10           5              1              0             0.8      
    32        13           7              0              0             1.0      
    33        8            3              0              0             1.0      
    34        10           5              1              0             0.8      
    35        11           8              3              0            0.625     
    36        10           5              1              0             0.8      
    37        10           4              0              0             1.0      
    38        11           6              1              0       0.8333333333333334
    39        9            4              0              0             1.0      
    40        11           6              1              0       0.8333333333333334
    41        11           5              1              0             0.8      
    42        12           6              0              0             1.0      
    43        10           6              2              0       0.6666666666666666
    44        7            4              1              0            0.75      
    45        10           5              1              0             0.8      
    46        11           4              0              0             1.0      
    47        10           7              2              0       0.7142857142857143
    48        5            3              1              0       0.6666666666666666
    49        8            4              1              0            0.75      
    50        11           6              2              0       0.6666666666666666
    51        11           6              1              0       0.8333333333333334
    52        10           5              1              0             0.8      
    53        11           5              1              0             0.8      
    54        10           5              1              0             0.8      
    55        7            4              1              0            0.75      
    56        5            3              1              0       0.6666666666666666
    57        7            2              0              0             1.0      
    58        12           5              0              0             1.0      
    59        11           5              1              0             0.8      
    60        9            5              1              0             0.8      
    61        9            4              0              0             1.0      
    62        11           5              1              0             0.8      
    63        12           8              2              0            0.75      
    64        7            2              0              0             1.0      
    65        10           5              1              0             0.8      
    66        9            5              1              0             0.8      
    67        10           5              1              0             0.8      
    68        7            3              0              0             1.0      
    69        10           4              0              0             1.0      
    70        10           4              0              0             1.0      
    71        10           5              1              0             0.8      
    72        11           6              1              0       0.8333333333333334
    73        12           7              1              0       0.8571428571428571
    74        10           5              1              0             0.8      
    75        7            3              0              0             1.0      
    76        12           7              1              0       0.8571428571428571
    77        10           5              1              0             0.8      
    78        10           4              1              0            0.75      
    79        12           7              1              0       0.8571428571428571
