序号	ID	['出租', '景点', '酒店', '餐馆', '地铁']
1	51	[0, 0, 0, 1, 0]
2	52	[0, 0, 0, 0, 0]
3	53	[0, 1, 0, 0, 0]
4	54	[0, 0, 1, 0, 0]
5	55	[0, 1, 1, 0, 0]
6	56	[0, 1, 1, 1, 0]
7	57	[0, 1, 0, 1, 0]
8	58	[0, 0, 1, 0, 0]
9	59	[0, 0, 1, 0, 0]
10	60	[0, 0, 1, 1, 0]
11	61	[0, 1, 0, 0, 0]
12	62	[0, 1, 0, 0, 0]
13	63	[0, 1, 0, 0, 0]
14	64	[0, 1, 0, 0, 0]
15	65	[0, 1, 0, 0, 0]
16	66	[0, 1, 1, 0, 0]
17	67	[0, 1, 1, 0, 0]
18	68	[0, 1, 1, 0, 0]
19	69	[0, 1, 1, 0, 0]
20	70	[0, 1, 1, 0, 0]
21	71	[0, 1, 1, 0, 0]
22	72	[0, 1, 1, 0, 0]
23	73	[0, 1, 1, 0, 0]
24	74	[0, 1, 1, 1, 0]
25	75	[0, 0, 1, 0, 0]
26	76	[0, 0, 1, 0, 0]
27	77	[0, 0, 1, 1, 0]
28	78	[0, 0, 1, 0, 0]
29	79	[0, 0, 1, 0, 0]
30	80	[0, 0, 1, 0, 0]
31	81	[0, 0, 1, 1, 0]
32	82	[0, 1, 1, 0, 0]
33	83	[0, 1, 1, 1, 0]
34	84	[0, 0, 1, 0, 0]
35	85	[0, 0, 1, 1, 0]
36	86	[0, 0, 1, 0, 0]
37	87	[0, 0, 1, 1, 0]
38	88	[0, 0, 1, 0, 0]
39	89	[0, 0, 1, 1, 0]
40	90	[0, 1, 1, 0, 0]
41	91	[0, 0, 1, 1, 0]
42	92	[0, 0, 1, 0, 0]
43	93	[0, 0, 1, 1, 0]
44	94	[0, 0, 1, 0, 0]
45	95	[0, 0, 1, 0, 0]
46	96	[0, 1, 1, 0, 0]
47	97	[0, 0, 1, 1, 0]
48	98	[0, 0, 1, 0, 0]
49	99	[0, 0, 1, 1, 0]
50	100	[0, 0, 1, 0, 0]
51	101	[0, 0, 1, 1, 0]
52	102	[0, 0, 1, 1, 0]
53	103	[0, 1, 1, 1, 0]
54	104	[0, 1, 1, 1, 0]
55	105	[0, 1, 1, 1, 0]
56	106	[0, 1, 1, 1, 0]
57	107	[0, 1, 1, 1, 0]
58	108	[0, 1, 1, 1, 0]
59	109	[0, 1, 1, 1, 0]
60	110	[0, 1, 0, 1, 0]
61	111	[0, 1, 0, 1, 0]
62	112	[0, 1, 0, 1, 0]
63	113	[0, 0, 1, 0, 0]
64	114	[0, 0, 1, 0, 0]
65	115	[0, 0, 1, 1, 0]
66	116	[0, 0, 1, 1, 0]
67	117	[0, 0, 1, 1, 0]
68	118	[0, 0, 1, 0, 0]
69	119	[0, 0, 1, 1, 0]
70	120	[0, 0, 1, 0, 0]
71	121	[0, 0, 1, 0, 0]
72	122	[0, 0, 1, 0, 0]
73	123	[0, 0, 1, 1, 0]
